identity  18.690  (cps None)

single  797 events in window, +/-1 ticks each (1594 evaluations)
  race_ms   evt  steer  gas brk   k=-1      k=+1
      560     1    -3   1  0       DNF1?     DNF1?
      570     2    -9   1  0     =18.690     DNF1?
      580     3   -10   1  0     =18.690     DNF1?
      600     4   -12   1  0       DNF1?     DNF1?
      610     5   -14   1  0     =18.690     DNF1?
      620     6   -15   1  0     =18.690     DNF1?
      630     7   -17   1  0     =18.690     DNF1?
      640     8   -19   1  0     =18.690   ~19.440
      650     9   -20   1  0     =18.690     DNF1?
      660    10   -21   1  0     =18.690     DNF1?
      720    11   -20   1  0       DNF1?   ~19.360
      730    12   -19   1  0     =18.690     DNF1?
      860    13   -18   1  0       DNF1?     DNF1?
      870    14   -16   1  0     =18.690     DNF1?
      890    15   -15   1  0       DNF1?   ~19.483
      900    16   -13   1  0     =18.690     DNF1?
      910    17   -12   1  0     =18.690     DNF1?
      920    18    -9   1  0     =18.690     DNF1?
      930    19    -8   1  0     =18.690     DNF1?
      940    20    -6   1  0     =18.690   ~19.860
      960    21    -4   1  0       DNF1?     DNF1?
      970    22    -3   1  0     =18.690     DNF1?
      980    23     0   1  0     =18.690     DNF1?
     1270    24    -2   1  0       DNF1?     DNF1?
     1280    25    -5   1  0     =18.690   ~19.411
     1330    26    -8   1  0       DNF1?     DNF1?
     1340    27   -10   1  0     =18.690     DNF1?
     1350    28   -11   1  0     =18.690     DNF1?
     1360    29   -16   1  0     =18.690     DNF1?
     1370    30   -17   1  0     =18.690   ~19.371
     1380    31   -19   1  0     =18.690     DNF1?
     1410    32   -18   1  0       DNF1?     DNF1?
     1420    33   -16   1  0     =18.690     DNF1?
     1430    34   -12   1  0     =18.690     DNF1?
     1440    35    -4   1  0     =18.690   ~19.410
     1450    36     0   1  0     =18.690     DNF1?
     1730    37    -2   1  0       DNF1?     DNF1?
     1740    38    -3   1  0     =18.690     DNF1?
     1750    39    -6   1  0     =18.690     DNF1?
     1760    40    -7   1  0     =18.690     DNF1?
     1770    41   -10   1  0     =18.690     DNF1?
     1780    42   -11   1  0     =18.690   ~19.399
     1790    43   -13   1  0     =18.690     DNF1?
     1810    44   -14   1  0       DNF1?     DNF1?
     1980    45   -15   1  0       DNF1?     DNF1?
     2000    46   -14   1  0       DNF1?   ~19.465
     2010    47   -12   1  0     =18.690     DNF1?
     2020    48   -10   1  0     =18.690     DNF1?
     2030    49    -7   1  0     =18.690     DNF1?
     2040    50    -4   1  0     =18.690     DNF1?
     2050    51    -3   1  0     =18.690     DNF1?
     2090    52    -4   1  0       DNF1?     DNF1?
     2100    53    -5   1  0     =18.690     DNF1?
     2110    54    -7   1  0     =18.690     DNF1?
     2120    55    -9   1  0     =18.690     DNF1?
     2130    56   -13   1  0     =18.690     DNF1?
     2140    57   -15   1  0     =18.690     DNF1?
     2150    58   -16   1  0     =18.690     DNF1?
     2160    59   -19   1  0     =18.690     DNF1?
     2170    60   -20   1  0     =18.690   ~19.439
     2180    61   -21   1  0     =18.690     DNF1?
     2190    62   -22   1  0     =18.690     DNF1?
     2220    63   -23   1  0       DNF1?     DNF1?
     2230    64   -24   1  0     =18.690     DNF1?
     2280    65   -25   1  0       DNF1?     DNF1?
     2330    66   -24   1  0       DNF1?     DNF1?
     2340    67   -23   1  0     =18.690     DNF1?
     2350    68   -22   1  0     =18.690     DNF1?
     2370    69   -20   1  0       DNF1?     DNF1?
     2380    70   -18   1  0     =18.690     DNF1?
     2390    71   -15   1  0     =18.690     DNF1?
     2400    72   -13   1  0     =18.690     DNF1?
     2410    73    -8   1  0     =18.690     DNF1?
     2420    74    -4   1  0     =18.690     DNF1?
     2430    75    -2   1  0     =18.690     DNF1?
     2440    76     0   1  0     =18.690     DNF1?
     3190    77     1   1  0       DNF1?     DNF1?
     3200    78     2   1  0     =18.690     DNF1?
     3410    79     3   1  0       DNF1?     DNF1?
     3430    80     5   1  0       DNF1?     DNF1?
     3440    81     6   1  0     =18.690     DNF1?
     3450    82     7   1  0     =18.690     DNF1?
     3560    83     9   1  0       DNF1?     DNF1?
     3580    84    10   1  0       DNF1?     DNF1?
     3600    85    11   1  0       DNF1?     DNF1?
     3710    86    13   1  0       DNF1?     DNF1?
     3730    87    15   1  0       DNF1?     DNF1?
     3740    88    16   1  0     =18.690     DNF1?
     3750    89    18   1  0     =18.690     DNF1?
     3800    90    19   1  0       DNF1?     DNF1?
     3820    91    20   1  0       DNF1?     DNF1?
     3830    92    24   1  0     =18.690     DNF1?
     3840    93    25   1  0     =18.690     DNF1?
     3850    94    26   1  0     =18.690     DNF1?
     3860    95    28   1  0     =18.690     DNF1?
     3870    96    30   1  0     =18.690     DNF1?
     3890    97    31   1  0       DNF1?     DNF1?
     3920    98    30   1  0       DNF1?     DNF1?
     3970    99    31   1  0       DNF1?     DNF1?
     3980   100    33   1  0     =18.690     DNF1?
     4000   101    34   1  0       DNF1?     DNF1?
     4010   102    35   1  0     =18.690     DNF1?
