race_ms	brake	up	down	left	right	votes	conflicts	video_t
56210	0	1	0	0	0	1	0	494.500
56220	0	1	0	0	0	1	0	494.517
56230	0	1	0	0	0	1	0	494.533
56240	0	1	0	0	0	1	0	494.550
56250	0	1	0	0	0	1	0	494.567
56260	0	1	0	0	0	1	0	494.583
56270	0	1	0	0	0	1	0	494.600
56280	0	1	0	0	0	1	0	494.617
56290	0	1	0	0	0	1	0	494.633
56300	0	1	0	0	0	1	0	494.650
56310	0	1	0	0	0	1	0	494.667
56320	0	1	0	0	0	1	0	494.683
56330	0	1	0	0	0	1	0	494.700
56340	0	1	0	0	0	1	0	494.717
56350	0	1	0	0	0	1	0	494.733
56360	0	1	0	0	0	1	0	494.750
56370	0	1	0	0	0	1	0	494.767
56380	0	1	0	0	0	1	0	494.783
56390	0	1	0	0	0	1	0	494.800
56400	0	1	0	0	0	1	0	494.817
56410	0	1	0	0	0	1	0	494.833
56420	0	1	0	0	0	1	0	494.850
56430	0	1	0	0	0	1	0	494.867
56440	0	1	0	0	0	1	0	494.883
56450	0	1	0	0	0	1	0	494.900
56460	0	1	0	0	0	1	0	494.917
56470	0	1	0	0	0	1	0	494.933
56490	0	1	0	0	0	1	0	494.950
56500	0	1	0	0	0	1	0	494.967
56510	0	1	0	0	0	1	0	494.983
56520	0	1	0	0	0	1	0	495.000
56530	0	1	0	0	0	1	0	495.017
56540	0	1	0	0	0	1	0	495.033
56550	0	1	0	0	0	1	0	495.050
56560	0	1	0	0	0	1	0	495.067
56570	0	1	0	0	0	1	0	495.083
56580	0	1	0	0	0	1	0	495.100
56590	0	1	0	0	0	1	0	495.117
56600	0	1	0	0	0	1	0	495.133
56610	0	1	0	0	0	1	0	495.150
56620	0	1	0	0	0	1	0	495.167
56630	0	1	0	0	0	1	0	495.183
56640	0	1	0	0	0	1	0	495.200
56650	0	1	0	0	0	1	0	495.217
56660	0	1	0	0	0	1	0	495.233
56670	0	1	0	0	0	1	0	495.250
56680	0	1	0	0	0	1	0	495.267
56690	0	1	0	0	0	1	0	495.283
56700	0	1	0	0	0	1	0	495.300
56710	0	1	0	0	0	1	0	495.317
56720	0	1	0	0	0	1	0	495.333
56730	0	1	0	0	0	1	0	495.350
56740	0	1	0	0	0	1	0	495.367
56750	0	1	0	0	0	1	0	495.383
56760	0	1	0	0	0	1	0	495.400
56770	0	1	0	0	0	1	0	495.417
56780	0	1	0	0	0	1	0	495.433
56790	0	1	0	0	0	1	0	495.450
56800	0	1	0	0	0	1	0	495.467
56820	0	1	0	0	0	1	0	495.483
56830	0	1	0	0	0	1	0	495.500
56840	0	1	0	0	0	1	0	495.517
56850	0	1	0	0	0	1	0	495.533
56860	0	1	0	0	0	1	0	495.550
56870	0	1	0	0	0	1	0	495.567
56880	0	1	0	0	0	1	0	495.583
56890	0	1	0	0	0	1	0	495.600
56900	0	1	0	0	0	1	0	495.617
56910	0	1	0	0	0	1	0	495.633
56920	0	1	0	0	0	1	0	495.650
56930	0	1	0	0	0	1	0	495.667
56940	0	1	0	0	0	1	0	495.683
56950	0	1	0	0	0	1	0	495.700
56960	0	1	0	0	0	1	0	495.717
56970	0	1	0	0	0	1	0	495.733
56980	0	1	0	0	0	1	0	495.750
56990	0	1	0	0	0	1	0	495.767
57000	0	1	0	0	0	1	0	495.783
57010	0	1	0	0	0	1	0	495.800
57020	0	1	0	0	0	1	0	495.817
57030	0	1	0	0	0	1	0	495.833
57040	0	1	0	0	0	1	0	495.850
57050	0	1	0	0	0	1	0	495.867
57060	0	1	0	0	0	1	0	495.883
57070	0	1	0	0	0	1	0	495.900
57080	0	1	0	0	0	1	0	495.917
57090	0	1	0	0	0	1	0	495.933
57100	0	1	0	0	0	1	0	495.950
57110	0	1	0	0	0	1	0	495.967
57120	0	1	0	0	0	1	0	495.983
57140	0	1	0	0	0	1	0	496.000
57150	0	1	0	0	1	1	0	496.017
57160	0	1	0	0	1	1	0	496.033
57170	0	1	0	0	1	1	0	496.050
57180	0	1	0	0	1	1	0	496.067
57190	0	1	0	0	1	1	0	496.083
57200	0	1	0	0	1	1	0	496.100
57210	0	1	0	0	1	1	0	496.117
57220	0	1	0	0	1	1	0	496.133
57230	0	1	0	0	1	1	0	496.150
57240	0	1	0	0	1	1	0	496.167
57250	0	1	0	0	1	1	0	496.183
57260	0	1	0	0	1	1	0	496.200
57270	0	1	0	0	1	1	0	496.217
57280	0	1	0	0	1	1	0	496.233
57290	0	1	0	0	1	1	0	496.250
57300	0	1	0	0	1	1	0	496.267
57310	0	1	0	0	1	1	0	496.283
57320	0	1	0	0	0	1	0	496.300
57330	0	1	0	0	0	1	0	496.317
57340	0	1	0	0	0	1	0	496.333
57350	0	1	0	0	0	1	0	496.350
57360	0	1	0	0	0	1	0	496.367
57370	0	1	0	0	0	1	0	496.383
57380	0	1	0	0	0	1	0	496.400
57390	0	1	0	0	0	1	0	496.417
57400	0	1	0	0	0	1	0	496.433
57410	0	1	0	0	0	1	0	496.450
57420	0	1	0	0	0	1	0	496.467
57430	0	1	0	0	0	1	0	496.483
57440	0	1	0	0	0	1	0	496.500
57450	0	1	0	0	0	1	0	496.517
57470	0	1	0	1	0	1	0	496.533
57480	0	1	0	1	0	1	0	496.550
57490	0	1	0	1	0	1	0	496.567
57500	0	1	0	1	0	1	0	496.583
57510	0	1	0	1	0	1	0	496.600
57520	0	1	0	1	0	1	0	496.617
57530	0	1	0	1	0	1	0	496.633
57540	0	1	0	1	0	1	0	496.650
57550	0	1	0	1	0	1	0	496.667
57560	0	1	0	1	0	1	0	496.683
57570	0	1	0	1	0	1	0	496.700
57580	0	1	0	1	0	1	0	496.717
57590	0	1	0	1	0	1	0	496.733
57600	0	1	0	1	0	1	0	496.750
57610	0	1	0	1	0	1	0	496.767
57620	0	1	0	1	0	1	0	496.783
57630	0	1	0	1	0	1	0	496.800
57640	0	1	0	1	0	1	0	496.817
57650	0	1	0	1	0	1	0	496.833
57660	0	1	0	1	0	1	0	496.850
57670	0	1	0	1	0	1	0	496.867
57680	0	1	0	1	0	1	0	496.883
57690	0	1	0	1	0	1	0	496.900
57700	0	1	0	1	0	1	0	496.917
57710	0	1	0	1	0	1	0	496.933
57720	0	1	0	1	0	1	0	496.950
57730	0	1	0	1	0	1	0	496.967
57740	0	1	0	1	0	1	0	496.983
57750	0	1	0	1	0	1	0	497.000
57760	0	1	0	1	0	1	0	497.017
57770	0	1	0	1	0	1	0	497.033
57790	0	1	0	1	0	1	0	497.050
57800	0	1	0	1	0	1	0	497.067
57810	0	1	0	1	0	1	0	497.083
57820	0	1	0	1	0	1	0	497.100
57830	0	1	0	1	0	1	0	497.117
57840	0	1	0	1	0	1	0	497.133
57850	0	1	0	1	0	1	0	497.150
57860	0	1	0	1	0	1	0	497.167
57870	0	1	0	1	0	1	0	497.183
57880	0	1	0	1	0	1	0	497.200
57890	0	1	0	1	0	1	0	497.217
57900	0	1	0	0	0	1	0	497.233
57910	0	1	0	0	0	1	0	497.250
57920	0	1	0	0	0	1	0	497.267
57930	0	1	0	0	0	1	0	497.283
57940	0	1	0	0	0	1	0	497.300
57950	0	1	0	0	0	1	0	497.317
57960	0	1	0	0	1	1	0	497.333
57970	0	1	0	0	1	1	0	497.350
57980	0	1	0	0	1	1	0	497.367
57990	0	1	0	0	1	1	0	497.383
58000	0	1	0	0	1	1	0	497.400
58010	0	1	0	0	1	1	0	497.417
58020	0	1	0	0	1	1	0	497.433
58030	0	1	0	0	1	1	0	497.450
58040	0	1	0	0	1	1	0	497.467
58050	0	1	0	0	1	1	0	497.483
58060	0	1	0	0	1	1	0	497.500
58070	0	1	0	0	1	1	0	497.517
58080	0	1	0	0	1	1	0	497.533
58090	0	1	0	0	1	1	0	497.550
58100	0	1	0	0	1	1	0	497.567
58120	0	1	0	0	1	1	0	497.583
58130	0	1	0	0	1	1	0	497.600
# 187 ticks over a 1.920 s race-time span, 0 of them with disagreeing frames
