t	kmh
0.0047	27
0.0214	27
0.0380	
0.0547	
0.0714	
0.0880	
0.1047	
0.1214	
0.1380	
0.1547	
0.1714	
0.1880	
0.2047	
0.2214	
0.2380	
0.2547	
0.2714	29
0.2880	29
0.3047	29
0.3214	29
0.3380	
0.3547	
0.3714	
0.3880	
0.4047	
0.4214	20
0.4380	20
0.4547	19
0.4714	19
0.4880	18
0.5047	
0.5214	
0.5380	
0.5547	
0.5714	
0.5880	
0.6047	
0.6214	
0.6380	
0.6547	
0.6714	
0.6880	
0.7047	
0.7214	
0.7380	20
0.7547	20
0.7714	20
0.7880	27
0.8047	
0.8214	
0.8380	
0.8547	29
0.8714	29
0.8880	29
0.9047	24
0.9214	24
0.9380	
0.9547	29
0.9714	29
0.9880	29
1.0047	29
1.0214	27
1.0380	27
1.0547	27
1.0714	29
1.0880	29
1.1047	29
1.1214	29
1.1380	29
1.1547	20
1.1714	20
1.1880	
1.2047	
1.2214	
1.2380	
1.2547	
1.2714	
1.2880	
1.3047	
1.3214	94
1.3380	94
1.3547	94
1.3714	
1.3880	
1.4047	
1.4214	
1.4380	
1.4547	
1.4714	
1.4880	
1.5047	
1.5214	
1.5380	
1.5547	
1.5714	
1.5880	
1.6047	
1.6214	
1.6380	
1.6547	
1.6714	
1.6880	
1.7047	49
1.7214	49
1.7380	49
1.7547	44
1.7714	44
1.7880	44
1.8047	
1.8214	
1.8380	
1.8547	
1.8714	
1.8880	
1.9047	47
1.9214	47
1.9380	
1.9547	
1.9714	
1.9880	49
2.0047	49
2.0214	49
2.0380	50
2.0547	50
2.0714	
2.0880	
2.1047	
2.1214	52
2.1380	52
2.1547	
2.1714	
2.1880	
2.2047	
2.2214	
2.2380	
2.2547	
2.2714	
2.2880	
2.3047	
2.3214	
2.3380	
2.3547	
2.3714	
2.3880	
2.4047	
2.4214	
2.4380	
2.4547	
2.4714	
2.4880	
2.5047	164
2.5214	
2.5380	
2.5547	182
2.5714	180
2.5880	186
2.6047	
2.6214	200
2.6380	210
2.6547	213
2.6714	218
2.6880	222
2.7047	227
2.7214	230
2.7380	235
2.7547	239
2.7714	242
2.7880	247
2.8047	250
2.8214	255
2.8380	258
2.8547	
2.8714	
2.8880	
2.9047	275
2.9214	278
2.9380	
2.9547	
2.9714	
2.9880	
3.0047	
3.0214	
3.0380	
3.0547	
3.0714	
3.0880	
3.1047	
3.1214	
3.1380	
3.1547	
3.1714	
3.1880	
3.2047	
3.2214	
3.2380	
3.2547	
3.2714	
3.2880	309
3.3047	
3.3214	
3.3380	
3.3547	
3.3714	309
3.3880	
3.4047	
3.4214	
3.4380	309
3.4547	
3.4714	
3.4880	309
3.5047	309
3.5214	309
3.5380	309
3.5547	309
3.5714	309
3.5880	309
3.6047	309
3.6214	309
3.6380	
3.6547	309
3.6714	309
3.6880	309
3.7047	309
3.7214	309
3.7380	309
3.7547	309
3.7714	309
3.7880	309
3.8047	309
3.8214	309
3.8380	309
3.8547	309
3.8714	309
3.8880	309
3.9047	309
3.9214	309
3.9380	309
3.9547	309
3.9714	309
3.9880	
4.0047	
4.0214	309
4.0380	307
4.0547	309
4.0714	307
4.0880	307
4.1047	
4.1214	
4.1380	307
4.1547	307
4.1714	
4.1880	307
4.2047	307
4.2214	
4.2380	
4.2547	
4.2714	
4.2880	307
4.3047	307
4.3214	
4.3380	
4.3547	307
4.3714	
4.3880	
4.4047	
4.4214	
4.4380	
4.4547	
4.4714	
4.4880	
4.5047	
4.5214	
4.5380	
4.5547	
4.5714	
4.5880	
4.6047	
4.6214	
4.6380	
4.6547	
4.6714	
4.6880	
4.7047	
4.7214	
4.7380	
4.7547	
4.7714	307
4.7880	
4.8047	300
4.8214	300
4.8380	300
4.8547	300
4.8714	
4.8880	
4.9047	300
4.9214	
4.9380	
4.9547	
4.9714	
4.9880	
5.0047	300
5.0214	300
5.0380	307
5.0547	307
5.0714	307
5.0880	307
