template /tmp/m3/ghosts/rank00001_3867.Ghost.Gbx: 387 ticks, declared Some(3867) ms; window [0,387)
identity control: seed re-simulates to 3836 ms
# base 3836 ms; boundary shifted by d ticks (+ = event happens LATER)
  tick   event_ms  d_ticks     ms
--- boundary at tick 12 (120 ms)
    12        120       +1   4363 (+527)
    12        120       -1   4154 (+318)
    12        120       +2   4378 (+542)
    12        120       -2   4428 (+592)
    12        120       +3   5498 (+1662)
    12        120       -3    DNF
    12        120       +4   4123 (+287)
    12        120       -4    DNF
    12        120       +5    DNF
    12        120       -5    DNF
    12        120       +6   5659 (+1823)
    12        120       -6    DNF
    12        120       +7   4282 (+446)
    12        120       -7    DNF
    12        120       +8    DNF
    12        120       -8   4989 (+1153)
--- boundary at tick 29 (290 ms)
    29        290       +1   3850 (+14)
    29        290       -1   4031 (+195)
    29        290       -2   3923 (+87)
    29        290       -3   4228 (+392)
    29        290       -4   4277 (+441)
    29        290       -5   4283 (+447)
    29        290       -6   4373 (+537)
    29        290       -7   4324 (+488)
    29        290       -8   4809 (+973)
--- boundary at tick 30 (300 ms)
    30        300       +1   4038 (+202)
    30        300       -1   3850 (+14)
    30        300       +2   3939 (+103)
    30        300       +3   3965 (+129)
    30        300       +4   4319 (+483)
    30        300       +5   4389 (+553)
    30        300       +6   4357 (+521)
    30        300       +7   4332 (+496)
    30        300       +8   4405 (+569)
--- boundary at tick 72 (720 ms)
    72        720       +1   4384 (+548)
    72        720       -1    DNF
    72        720       +2    DNF
    72        720       -2    DNF
    72        720       +3   4557 (+721)
    72        720       -3    DNF
    72        720       +4    DNF
    72        720       -4    DNF
    72        720       +5    DNF
    72        720       -5    DNF
    72        720       +6    DNF
    72        720       -6    DNF
    72        720       +7    DNF
    72        720       -7    DNF
    72        720       -8    DNF
--- boundary at tick 79 (790 ms)
    79        790       +1   4606 (+770)
    79        790       -1   4658 (+822)
    79        790       +2   4167 (+331)
    79        790       -2   6588 (+2752)
    79        790       +3   4192 (+356)
    79        790       -3    DNF
    79        790       -4    DNF
    79        790       -5    DNF
    79        790       -6    DNF
    79        790       -7    DNF
--- boundary at tick 82 (820 ms)
    82        820       +1   3836 (+0)
    82        820       -1   3836 (+0)
    82        820       +2   3836 (+0)
    82        820       -2   3836 (+0)
    82        820       -3   3836 (+0)
--- boundary at tick 84 (840 ms)
    84        840       +1    DNF
    84        840       -1   4316 (+480)
    84        840       +2    DNF
    84        840       -2    DNF
    84        840       +3    DNF
    84        840       +4    DNF
    84        840       +5    DNF
    84        840       +6    DNF
    84        840       +7    DNF
    84        840       +8    DNF
--- boundary at tick 158 (1580 ms)
   158       1580       +1   4379 (+543)
   158       1580       -1   4119 (+283)
   158       1580       +2   5539 (+1703)
   158       1580       -2   4346 (+510)
   158       1580       +3    DNF
   158       1580       -3   4838 (+1002)
   158       1580       +4   4066 (+230)
   158       1580       -4   4579 (+743)
   158       1580       +5   4125 (+289)
   158       1580       -5   4405 (+569)
   158       1580       -6   4457 (+621)
   158       1580       -7   4382 (+546)
   158       1580       -8   4267 (+431)
--- boundary at tick 163 (1630 ms)
   163       1630       +1   4173 (+337)
   163       1630       -1   4173 (+337)
   163       1630       +2   4158 (+322)
   163       1630       -2   4179 (+343)
   163       1630       +3   4676 (+840)
   163       1630       -3   5498 (+1662)
   163       1630       +4   4402 (+566)
   163       1630       -4   4249 (+413)
   163       1630       +5    DNF
   163       1630       -5   4125 (+289)
   163       1630       +6    DNF
   163       1630       +7    DNF
   163       1630       +8    DNF
--- boundary at tick 244 (2440 ms)
   244       2440       +1   4201 (+365)
   244       2440       -1   4316 (+480)
   244       2440       +2   4209 (+373)
   244       2440       -2    DNF
   244       2440       +3   4182 (+346)
   244       2440       -3    DNF
   244       2440       +4   4645 (+809)
   244       2440       -4    DNF
   244       2440       +5    DNF
   244       2440       -5    DNF
   244       2440       +6    DNF
   244       2440       -6    DNF
   244       2440       +7   4547 (+711)
   244       2440       -7    DNF
   244       2440       +8   4759 (+923)
   244       2440       -8    DNF
--- boundary at tick 268 (2680 ms)
   268       2680       +1   4177 (+341)
   268       2680       -1   4171 (+335)
   268       2680       +2   4174 (+338)
   268       2680       -2   4190 (+354)
   268       2680       +3   4093 (+257)
   268       2680       -3   4227 (+391)
   268       2680       +4   4092 (+256)
   268       2680       -4    DNF
   268       2680       +5   4066 (+230)
   268       2680       -5    DNF
   268       2680       -6    DNF
   268       2680       -7    DNF
   268       2680       -8    DNF
--- boundary at tick 273 (2730 ms)
   273       2730       +1   3853 (+17)
   273       2730       -1   4057 (+221)
   273       2730       -2   4057 (+221)
   273       2730       -3   4057 (+221)
   273       2730       -4   4057 (+221)
   273       2730       -5   4057 (+221)
--- boundary at tick 274 (2740 ms)
   274       2740       +1   3836 (+0)
   274       2740       -1   3853 (+17)
   274       2740       +2   3836 (+0)
--- boundary at tick 276 (2760 ms)
   276       2760       +1   3892 (+56)
   276       2760       -1   3987 (+151)
   276       2760       -2   4189 (+353)
--- boundary at tick 277 (2770 ms)
   277       2770       +1   3851 (+15)
   277       2770       -1   3850 (+14)
--- boundary at tick 278 (2780 ms)
   278       2780       +1   4018 (+182)
   278       2780       -1   3860 (+24)
   278       2780       +2   3999 (+163)
   278       2780       +3   4083 (+247)
   278       2780       +4   4174 (+338)
   278       2780       +5   4170 (+334)
   278       2780       +6   4173 (+337)
   278       2780       +7   4124 (+288)
   278       2780       +8   4142 (+306)
