template /tmp/m3/ghosts/rank00001_3867.Ghost.Gbx: 387 ticks, declared Some(3867) ms; window [0,387)
identity control: seed re-simulates to 3848 ms
# base 3848 ms; boundary shifted by d ticks (+ = event happens LATER)
  tick   event_ms  d_ticks     ms
--- boundary at tick 12 (120 ms)
    12        120       +1   4166 (+318)
    12        120       -1   5769 (+1921)
    12        120       +2   4867 (+1019)
    12        120       -2   4968 (+1120)
    12        120       +3   4274 (+426)
    12        120       -3   4363 (+515)
    12        120       +4    DNF
    12        120       -4   5589 (+1741)
    12        120       +5    DNF
    12        120       -5    DNF
    12        120       +6    DNF
    12        120       -6   4234 (+386)
    12        120       +7    DNF
    12        120       -7    DNF
    12        120       +8   4191 (+343)
    12        120       -8    DNF
--- boundary at tick 72 (720 ms)
    72        720       +1   4320 (+472)
    72        720       -1   4228 (+380)
    72        720       +2   4448 (+600)
    72        720       -2   4245 (+397)
    72        720       +3    DNF
    72        720       -3    DNF
    72        720       +4    DNF
    72        720       -4    DNF
    72        720       +5    DNF
    72        720       -5    DNF
    72        720       +6    DNF
    72        720       -6    DNF
    72        720       +7    DNF
    72        720       -7    DNF
    72        720       -8    DNF
--- boundary at tick 79 (790 ms)
    79        790       +1   4205 (+357)
    79        790       -1   4287 (+439)
    79        790       +2   4284 (+436)
    79        790       -2    DNF
    79        790       +3   5158 (+1310)
    79        790       -3    DNF
    79        790       -4    DNF
    79        790       -5    DNF
    79        790       -6    DNF
    79        790       -7    DNF
--- boundary at tick 82 (820 ms)
    82        820       +1   3848 (+0)
    82        820       -1   3848 (+0)
    82        820       +2   3866 (+18)
    82        820       -2   3848 (+0)
    82        820       -3   3848 (+0)
--- boundary at tick 84 (840 ms)
    84        840       +1   4999 (+1151)
    84        840       -1    DNF
    84        840       +2    DNF
    84        840       -2   4658 (+810)
    84        840       +3    DNF
    84        840       +4    DNF
    84        840       +5    DNF
    84        840       +6    DNF
    84        840       +7    DNF
    84        840       +8    DNF
--- boundary at tick 244 (2440 ms)
   244       2440       +1   4115 (+267)
   244       2440       -1   4383 (+535)
   244       2440       +2    DNF
   244       2440       -2   4221 (+373)
   244       2440       +3    DNF
   244       2440       -3   5409 (+1561)
   244       2440       +4   4399 (+551)
   244       2440       -4   5199 (+1351)
   244       2440       +5   4555 (+707)
   244       2440       -5    DNF
   244       2440       +6   4816 (+968)
   244       2440       -6    DNF
   244       2440       +7   4686 (+838)
   244       2440       -7    DNF
   244       2440       +8    DNF
   244       2440       -8    DNF
--- boundary at tick 263 (2630 ms)
   263       2630       +1   3858 (+10)
   263       2630       -1   4148 (+300)
   263       2630       -2   4248 (+400)
   263       2630       -3   4262 (+414)
   263       2630       -4   4407 (+559)
   263       2630       -5   4568 (+720)
   263       2630       -6   6327 (+2479)
   263       2630       -7   4787 (+939)
   263       2630       -8    DNF
--- boundary at tick 264 (2640 ms)
   264       2640       +1   4223 (+375)
   264       2640       -1   3858 (+10)
   264       2640       +2   4479 (+631)
   264       2640       +3   4236 (+388)
   264       2640       +4   4393 (+545)
--- boundary at tick 268 (2680 ms)
   268       2680       +1   4187 (+339)
   268       2680       -1   4150 (+302)
   268       2680       +2   4082 (+234)
   268       2680       -2   4786 (+938)
   268       2680       +3   4265 (+417)
   268       2680       -3   4341 (+493)
   268       2680       +4   4317 (+469)
   268       2680       -4   4341 (+493)
   268       2680       +5   4275 (+427)
   268       2680       +6   4596 (+748)
   268       2680       +7   4398 (+550)
   268       2680       +8   4319 (+471)
--- boundary at tick 289 (2890 ms)
   289       2890       +1   3882 (+34)
   289       2890       -1   4090 (+242)
   289       2890       +2   4226 (+378)
   289       2890       -2   3980 (+132)
   289       2890       +3   4199 (+351)
   289       2890       -3   4347 (+499)
   289       2890       +4   4201 (+353)
   289       2890       -4   4325 (+477)
   289       2890       +5   4189 (+341)
   289       2890       -5   4252 (+404)
   289       2890       -6   4317 (+469)
   289       2890       -7   4517 (+669)
   289       2890       -8   4599 (+751)
--- boundary at tick 294 (2940 ms)
   294       2940       +1   4075 (+227)
   294       2940       -1   3982 (+134)
   294       2940       +2   3942 (+94)
   294       2940       -2   4238 (+390)
   294       2940       +3   3985 (+137)
   294       2940       -3   4209 (+361)
   294       2940       +4   3969 (+121)
   294       2940       -4   4206 (+358)
   294       2940       +5   3978 (+130)
   294       2940       -5   4189 (+341)
   294       2940       +6   3969 (+121)
   294       2940       +7   3985 (+137)
   294       2940       +8   4026 (+178)
