template /tmp/m3/ghosts/rank00001_3867.Ghost.Gbx: 387 ticks, declared Some(3867) ms; window [0,387)
identity control: seed re-simulates to 3867 ms
# base 3867 ms; boundary shifted by d ticks (+ = event happens LATER)
  tick   event_ms  d_ticks     ms
--- boundary at tick 12 (120 ms)
    12        120       +1   4143 (+276)
    12        120       -1   5118 (+1251)
    12        120       +2   4342 (+475)
    12        120       -2    DNF
    12        120       +3    DNF
    12        120       -3   4312 (+445)
    12        120       +4    DNF
    12        120       -4   4639 (+772)
    12        120       +5    DNF
    12        120       -5   4716 (+849)
    12        120       +6    DNF
    12        120       -6   4394 (+527)
    12        120       +7    DNF
    12        120       -7    DNF
    12        120       +8   4218 (+351)
    12        120       -8    DNF
--- boundary at tick 72 (720 ms)
    72        720       +1   4172 (+305)
    72        720       -1   4249 (+382)
    72        720       +2   4277 (+410)
    72        720       -2   4255 (+388)
    72        720       +3   5519 (+1652)
    72        720       -3    DNF
    72        720       +4    DNF
    72        720       -4    DNF
    72        720       +5    DNF
    72        720       -5    DNF
    72        720       +6    DNF
    72        720       -6    DNF
    72        720       +7    DNF
    72        720       -7    DNF
    72        720       -8    DNF
--- boundary at tick 79 (790 ms)
    79        790       +1   4165 (+298)
    79        790       -1   4254 (+387)
    79        790       +2    DNF
    79        790       -2   6068 (+2201)
    79        790       +3   4262 (+395)
    79        790       -3    DNF
    79        790       -4    DNF
    79        790       -5    DNF
    79        790       -6    DNF
    79        790       -7    DNF
--- boundary at tick 82 (820 ms)
    82        820       +1   3867 (+0)
    82        820       -1   3867 (+0)
    82        820       +2   3867 (+0)
    82        820       -2   3867 (+0)
    82        820       -3   3867 (+0)
--- boundary at tick 84 (840 ms)
    84        840       +1   4646 (+779)
    84        840       -1   6738 (+2871)
    84        840       +2    DNF
    84        840       -2   4285 (+418)
    84        840       +3    DNF
    84        840       +4    DNF
    84        840       +5    DNF
    84        840       +6    DNF
    84        840       +7    DNF
    84        840       +8    DNF
--- boundary at tick 244 (2440 ms)
   244       2440       +1   4180 (+313)
   244       2440       -1   4318 (+451)
   244       2440       +2   4198 (+331)
   244       2440       -2    DNF
   244       2440       +3    DNF
   244       2440       -3    DNF
   244       2440       +4   4533 (+666)
   244       2440       -4    DNF
   244       2440       +5   4398 (+531)
   244       2440       -5    DNF
   244       2440       +6   4432 (+565)
   244       2440       -6    DNF
   244       2440       +7   4676 (+809)
   244       2440       -7    DNF
   244       2440       +8   4372 (+505)
   244       2440       -8    DNF
--- boundary at tick 268 (2680 ms)
   268       2680       +1   4148 (+281)
   268       2680       -1   4364 (+497)
   268       2680       +2   4086 (+219)
   268       2680       -2   4739 (+872)
   268       2680       +3   4223 (+356)
   268       2680       -3   4356 (+489)
   268       2680       +4   4294 (+427)
   268       2680       -4    DNF
   268       2680       +5   4285 (+418)
   268       2680       -5    DNF
   268       2680       +6   4294 (+427)
   268       2680       -6    DNF
   268       2680       +7   4368 (+501)
   268       2680       -7    DNF
   268       2680       +8   4282 (+415)
   268       2680       -8    DNF
