template /tmp/m3/ghosts/rank00001_3867.Ghost.Gbx: 387 ticks, declared Some(3867) ms; window [0,387)
identity control: seed re-simulates to 3836 ms
# base 3836 ms
  tick  event_ms    d    frozen  repaired
    12       120   -2      4428      3839
    12       120   -1      4154      3839
    12       120   +1      4363      3836
    12       120   +2      4378      3836
    29       290   -2      3923      3836
    29       290   -1      4031      3836
    29       290   +1      3850      3836
    30       300   -1      3850      3836
    30       300   +1      4038      3836
    30       300   +2      3939      3836
    72       720   -2       DNF      3836
    72       720   -1       DNF      3836
    72       720   +1      4384      3836
    72       720   +2       DNF      3836
    79       790   -2      6588      3836
    79       790   -1      4658      3836
    79       790   +1      4606      3836
    79       790   +2      4167      3836
    82       820   -2      3836      3836
    82       820   -1      3836      3836
    82       820   +1      3836      3836
    82       820   +2      3836      3836
    84       840   -2       DNF      3836
    84       840   -1      4316      3836
    84       840   +1       DNF      3836
    84       840   +2       DNF      3836
   158      1580   -2      4346      3836
   158      1580   -1      4119      3836
   158      1580   +1      4379      3836
   158      1580   +2      5539      3836
   163      1630   -2      4179      3836
   163      1630   -1      4173      3836
   163      1630   +1      4173      3836
   163      1630   +2      4158      3836
   244      2440   -2       DNF      3836
   244      2440   -1      4316      3836
   244      2440   +1      4201      3836
   244      2440   +2      4209      3836
   268      2680   -2      4190      3836
   268      2680   -1      4171      3836
   268      2680   +1      4177      3836
   268      2680   +2      4174      3836
   273      2730   -2      4057      3836
   273      2730   -1      4057      3836
   273      2730   +1      3853      3836
   274      2740   -1      3853      3836
   274      2740   +1      3836      3836
   274      2740   +2      3836      3836
   276      2760   -2      4189      3836
   276      2760   -1      3987      3836
   276      2760   +1      3892      3836
   277      2770   -1      3850      3836
   277      2770   +1      3851      3836
   278      2780   -1      3860      3836
   278      2780   +1      4018      3836
   278      2780   +2      3999      3836
