template /tmp/m3/ghosts/rank00001_3867.Ghost.Gbx: 387 ticks, declared Some(3867) ms; window [0,387)
identity control: seed re-simulates to 3844 ms
# base 3844 ms
  tick  event_ms    d    frozen  repaired
    12       120   -2      4193      3844
    12       120   -1      5909      3844
    12       120   +1       DNF      3844
    12       120   +2      4273      3844
    72       720   -2      4284      3844
    72       720   -1      4235      3844
    72       720   +1      4377      3844
    72       720   +2      4271      3844
    79       790   -2      4759      3844
    79       790   -1      4116      3844
    79       790   +1      4239      3844
    79       790   +2      4245      3844
    82       820   -2      3844      3844
    82       820   -1      3844      3844
    82       820   +1      3844      3844
    82       820   +2      3844      3844
    84       840   -2       DNF      3844
    84       840   -1       DNF      3844
    84       840   +1      5679      3844
    84       840   +2       DNF      3844
   244      2440   -2      4290      3844
   244      2440   -1      4395      3844
   244      2440   +1      4253      3844
   244      2440   +2       DNF      3844
   263      2630   -2      4255      3844
   263      2630   -1      4197      3844
   263      2630   +1      4114      3844
   264      2640   -1      4114      3844
   264      2640   +1      4201      3844
   264      2640   +2      4192      3844
   268      2680   -2      5168      3844
   268      2680   -1      4296      3844
   268      2680   +1      4187      3844
   268      2680   +2      4253      3844
   272      2720   -2      4469      3844
   272      2720   -1      4175      3844
   272      2720   +1      4214      3844
   273      2730   -1      4214      3844
   273      2730   +1      4157      3844
   274      2740   -1      4157      3844
   274      2740   +1      4026      3844
   275      2750   -1      4026      3844
   275      2750   +1      4130      3844
   275      2750   +2      4196      3844
   289      2890   -2      3976      3844
   289      2890   -1      4091      3844
   289      2890   +1      4031      3844
   289      2890   +2      4023      3844
   294      2940   -2      4025      3844
   294      2940   -1      4101      3844
   294      2940   +1      3849      3844
   294      2940   +2      4098      3844
   298      2980   -2      3872      3844
   298      2980   -1      3846      3844
   298      2980   +1      3846      3844
   299      2990   -1      3846      3844
   299      2990   +1      3956      3844
   299      2990   +2      3872      3844
