RESULT keyboard
  finish       Some(22698) ms   (base 21918 ms, budget 22950 ms)
  events       76
  alphabet     9 distinct steer values: [-127, -122, -116, -69, -4, -3, 0, 2, 127]
  oracle evals 206249
  wrote        /tmp/m267460/simp_kb/keyboard.Ghost.Gbx

  tick   race_ms   held  steer  gas  brake
      0     -1550    210   -127    1      0
    210       550      6      0    1      0
    216       610    129    127    1      0
    345      1900      4    127    0      0
    349      1940     95    127    1      0
    444      2890      6      0    1      0
    450      2950     16   -127    1      0
    466      3110      9      0    1      0
    475      3200     77    127    1      0
    552      3970      3    127    1      1
    555      4000      2      0    1      1
    557      4020     41   -127    1      1
    598      4430    132   -127    0      0
    730      5750     26   -127    1      0
    756      6010      5   -127    0      0
    761      6060    122   -127    1      0
    883      7280     12      0    1      0
    895      7400     20    127    1      0
    915      7600     16      0    1      0
    931      7760     18    127    1      0
    949      7940     11      0    1      0
    960      8050     70    127    1      0
   1030      8750     14      0    1      0
   1044      8890     16    127    1      0
   1060      9050     19      0    1      0
   1079      9240     76    127    1      0
   1155     10000     12    127    0      0
   1167     10120     12    127    1      0
   1179     10240     29    127    0      0
   1208     10530      6    127    1      0
   1214     10590     93    127    0      0
   1307     11520     27    127    1      0
   1334     11790      6      0    1      0
   1340     11850      8   -127    1      0
   1348     11930     14      0    1      0
   1362     12070     13    127    1      0
   1375     12200     16      0    1      0
   1391     12360     22    127    1      0
   1413     12580     12      0    1      0
   1425     12700     14    127    1      0
   1439     12840      8      0    1      0
   1447     12920     14    127    1      0
   1461     13060     20      0    1      0
   1481     13260     62    127    1      0
   1543     13880     12      0    1      0
   1555     14000      8   -127    1      0
   1563     14080     11      0    1      0
   1574     14190      4    127    1      0
   1578     14230     22   -127    1      0
   1600     14450      8    127    1      0
   1608     14530     11   -127    1      0
   1619     14640     34    127    1      0
   1653     14980      5      0    1      0
   1658     15030      2   -127    1      0
   1660     15050      2     -4    1      0
   1662     15070      2     -3    1      0
   1664     15090      2    127    1      0
   1666     15110     20      0    1      0
   1686     15310      5    127    1      0
   1691     15360     31      0    1      0
   1722     15670      1   -127    0      0
   1723     15680     18      2    0      0
   1741     15860      9    127    1      0
   1750     15950      8    127    0      0
   1758     16030     64    127    1      0
   1822     16670      4    127    0      0
   1826     16710      9    127    1      0
   1835     16800    144   -127    1      0
   1979     18240     14    127    1      0
   1993     18380     17   -127    1      0
   2010     18550      5    127    1      0
   2015     18600     36   -116    1      0
   2051     18960      8   -127    1      1
   2059     19040     46   -122    1      1
   2105     19500     27   -127    1      1
   2132     19770     16    -69    1      1
   2148     19930    200   -127    1      1
