race_ms,steer,accel,brake
-1520,0,1,0
-1510,0,1,0
-1500,0,1,0
-1490,0,1,0
-1480,0,1,0
-1470,0,1,0
-1460,0,1,0
-1450,0,1,0
-1440,0,1,0
-1430,0,1,0
-1420,0,1,0
-1410,0,1,0
-1400,0,1,0
-1390,0,1,0
-1380,0,1,0
-1370,0,1,0
-1360,0,1,0
-1350,0,1,0
-1340,0,1,0
-1330,0,1,0
-1320,0,1,0
-1310,0,1,0
-1300,0,1,0
-1290,0,1,0
-1280,0,1,0
-1270,0,1,0
-1260,0,1,0
-1250,0,1,0
-1240,0,1,0
-1230,0,1,0
-1220,0,1,0
-1210,0,1,0
-1200,0,1,0
-1190,0,1,0
-1180,0,1,0
-1170,0,1,0
-1160,0,1,0
-1150,0,1,0
-1140,0,1,0
-1130,0,1,0
-1120,0,1,0
-1110,0,1,0
-1100,0,1,0
-1090,0,1,0
-1080,0,1,0
-1070,0,1,0
-1060,0,1,0
-1050,0,1,0
-1040,0,1,0
-1030,0,1,0
-1020,0,1,0
-1010,0,1,0
-1000,0,1,0
-990,0,1,0
-980,0,1,0
-970,0,1,0
-960,0,1,0
-950,0,1,0
-940,0,1,0
-930,0,1,0
-920,0,1,0
-910,0,1,0
-900,0,1,0
-890,0,1,0
-880,0,1,0
-870,0,1,0
-860,0,1,0
-850,0,1,0
-840,0,1,0
-830,0,1,0
-820,0,1,0
-810,0,1,0
-800,0,1,0
-790,0,1,0
-780,0,1,0
-770,0,1,0
-760,0,1,0
-750,0,1,0
-740,0,1,0
-730,0,1,0
-720,0,1,0
-710,0,1,0
-700,0,1,0
-690,0,1,0
-680,0,1,0
-670,0,1,0
-660,0,1,0
-650,0,1,0
-640,0,1,0
-630,0,1,0
-620,0,1,0
-610,0,1,0
-600,0,1,0
-590,0,1,0
-580,0,1,0
-570,0,1,0
-560,0,1,0
-550,0,1,0
-540,0,1,0
-530,0,1,0
-520,0,1,0
-510,0,1,0
-500,0,1,0
-490,0,1,0
-480,0,1,0
-470,0,1,0
-460,0,1,0
-450,0,1,0
-440,0,1,0
-430,0,1,0
-420,0,1,0
-410,0,1,0
-400,0,1,0
-390,0,1,0
-380,0,1,0
-370,0,1,0
-360,0,1,0
-350,0,1,0
-340,0,1,0
-330,0,1,0
-320,0,1,0
-310,0,1,0
-300,0,1,0
-290,0,1,0
-280,0,1,0
-270,0,1,0
-260,0,1,0
-250,0,1,0
-240,0,1,0
-230,0,1,0
-220,0,1,0
-210,0,1,0
-200,0,1,0
-190,0,1,0
-180,0,1,0
-170,0,1,0
-160,0,1,0
-150,0,1,0
-140,0,1,0
-130,0,1,0
-120,0,1,0
-110,0,1,0
-100,0,1,0
-90,0,1,0
-80,0,1,0
-70,0,1,0
-60,0,1,0
-50,0,1,0
-40,0,1,0
-30,0,1,0
-20,0,1,0
-10,0,1,0
0,0,1,0
10,0,1,0
20,0,1,0
30,0,1,0
40,0,1,0
50,12,1,0
60,0,1,0
70,0,1,0
80,0,1,0
90,-1,1,0
100,0,1,0
110,0,1,0
120,0,1,0
130,0,1,0
140,0,1,0
150,-5,1,0
160,-10,1,0
170,-15,1,0
180,-22,1,0
190,-27,1,0
200,-36,1,0
210,-42,1,0
220,-48,1,0
230,-52,1,0
240,-56,1,0
250,-57,1,0
260,-59,1,0
270,-59,1,0
280,-59,1,0
290,-59,1,0
300,-59,1,0
310,-59,1,0
320,-60,1,0
330,-61,1,0
340,-64,1,0
350,-65,1,0
360,-66,1,0
370,-66,1,0
380,-66,1,0
390,-66,1,0
400,-66,1,0
410,-66,1,0
420,-87,1,0
430,-66,1,0
440,-66,1,0
450,-66,1,0
460,-66,1,0
470,-67,1,0
480,-67,1,0
490,-67,1,0
500,-67,1,0
510,-67,1,0
520,-67,1,0
530,-67,1,0
540,-67,1,0
550,-67,1,0
560,-67,1,0
570,-67,1,0
580,-67,1,0
590,-67,1,0
600,-67,1,0
610,-67,1,0
620,-67,1,0
630,-67,1,0
640,-67,1,0
650,-67,1,0
660,-67,1,0
670,-67,1,0
680,-67,1,0
690,-67,1,0
700,-67,1,0
710,-67,1,0
720,-67,1,0
730,-67,1,0
740,-67,1,0
750,-67,1,0
760,-67,1,0
770,-67,1,0
780,-67,1,0
790,-66,1,0
800,-64,1,0
810,-64,1,0
820,-64,1,0
830,-64,1,0
840,-64,1,0
850,-64,1,0
860,-64,1,0
870,-64,1,0
880,-64,1,0
890,-64,1,0
900,-64,1,0
910,-64,1,0
920,-64,1,0
930,-64,1,0
940,-64,1,0
950,-64,1,0
960,-64,1,0
970,-64,1,0
980,-64,1,0
990,-64,1,0
1000,-64,1,0
1010,-64,1,0
1020,-64,1,0
1030,-64,1,0
1040,-64,1,0
1050,-64,1,0
1060,-64,1,0
1070,-64,1,0
1080,-64,1,0
1090,-64,1,0
1100,-64,1,0
1110,-64,1,0
1120,-64,1,0
1130,-64,1,0
1140,-60,1,0
1150,-54,1,0
1160,-51,1,0
1170,-37,1,0
1180,-24,1,0
1190,-6,1,0
1200,0,1,0
1210,0,1,0
1220,0,1,0
1230,0,1,0
1240,0,1,0
1250,0,1,0
1260,0,1,0
1270,0,1,0
1280,0,1,0
1290,0,1,0
1300,0,1,0
1310,0,1,0
1320,0,1,0
1330,0,1,0
1340,0,1,0
1350,0,1,0
1360,0,1,0
1370,0,1,0
1380,0,1,0
1390,0,1,0
1400,0,1,0
1410,0,1,0
1420,0,1,0
1430,0,1,0
1440,0,1,0
1450,6,1,0
1460,10,1,0
1470,16,1,0
1480,19,1,0
1490,20,1,0
1500,21,1,0
1510,21,1,0
1520,21,1,0
1530,21,1,0
1540,21,1,0
1550,21,1,0
1560,20,1,0
1570,11,1,0
1580,6,1,0
1590,0,1,0
1600,0,1,0
1610,0,1,0
1620,0,1,0
1630,0,1,0
1640,0,1,0
1650,0,1,0
1660,0,1,0
1670,0,1,0
1680,0,1,0
1690,0,1,0
1700,0,1,0
1710,0,1,0
1720,0,1,0
1730,0,1,0
1740,0,1,0
1750,0,1,0
1760,0,1,0
1770,0,1,0
1780,0,1,0
1790,0,1,0
1800,0,1,0
1810,0,1,0
1820,0,1,0
1830,0,1,0
1840,0,1,0
1850,0,1,0
1860,0,1,0
1870,0,1,0
1880,0,1,0
1890,0,1,0
1900,0,1,0
1910,0,1,0
1920,0,1,0
1930,0,1,0
1940,0,1,0
1950,0,1,0
1960,-1,1,0
1970,-6,1,0
1980,-10,1,0
1990,-14,1,0
2000,-16,1,0
2010,-20,1,0
2020,-23,1,0
2030,-28,1,0
2040,-33,1,0
2050,-37,1,0
2060,-41,1,0
2070,-44,1,0
2080,-46,1,0
2090,-47,1,0
2100,-48,1,0
2110,-52,1,0
2120,-54,1,0
2130,-58,1,0
2140,-60,1,0
2150,-65,1,0
2160,-67,1,0
2170,-70,1,0
2180,-72,1,0
2190,-74,1,0
2200,-74,1,0
2210,-75,1,0
2220,-75,1,0
2230,-75,1,0
2240,-75,1,0
2250,-75,1,0
2260,-75,1,0
2270,-76,1,0
2280,-76,1,0
2290,-76,1,0
2300,-77,1,0
2310,-78,1,0
2320,-78,1,0
2330,-78,1,0
2340,-79,1,0
2350,-79,1,0
2360,-79,1,0
2370,-79,1,0
2380,-79,1,0
2390,-78,1,0
2400,-78,1,0
2410,-76,1,0
2420,-75,1,0
2430,-74,1,0
2440,-74,1,0
2450,-74,1,0
2460,-72,1,0
2470,-71,1,0
2480,-69,1,0
2490,-66,1,0
2500,-63,1,0
2510,-59,1,0
2520,-59,1,0
2530,-59,1,0
2540,-59,1,0
2550,-65,1,0
2560,-70,1,0
2570,-75,1,0
2580,-78,1,0
2590,-84,1,0
2600,-88,1,0
2610,-90,1,0
2620,-96,1,0
2630,-103,1,0
2640,-109,1,0
2650,-115,1,0
2660,-120,1,0
2670,-122,1,0
2680,-123,1,0
2690,-123,1,0
2700,-121,1,0
2710,-114,1,0
2720,-109,1,0
2730,-101,1,0
2740,-98,1,0
2750,-96,1,0
2760,-96,1,0
2770,-96,1,0
2780,-96,1,0
2790,-97,1,0
2800,-98,1,0
2810,-99,1,0
2820,-102,1,0
2830,-104,1,0
2840,-108,1,0
2850,-114,1,0
2860,-118,1,0
2870,-123,1,0
2880,-127,1,0
2890,-127,1,0
2900,-127,1,0
2910,-127,1,0
2920,-127,1,0
2930,-127,1,0
2940,-127,1,0
2950,-127,1,0
2960,-127,1,0
2970,-127,1,0
2980,-127,1,0
2990,-127,1,0
3000,-127,1,0
3010,-127,1,0
3020,-127,1,0
3030,-127,1,0
3040,-127,1,0
3050,-127,1,0
3060,-127,1,0
3070,-127,1,0
3080,-127,1,0
3090,-127,1,0
3100,-127,1,0
3110,-127,1,0
3120,-127,1,0
3130,-127,1,0
3140,-127,1,0
3150,-127,1,0
3160,-127,1,0
3170,-127,1,0
3180,-127,1,0
3190,-127,1,0
3200,-127,1,0
3210,-127,1,0
3220,-127,1,0
3230,-127,1,0
3240,-125,1,0
3250,-125,1,0
3260,-124,1,0
3270,-124,1,0
3280,-124,1,0
3290,-124,1,0
3300,-125,1,0
3310,-127,1,0
3320,-127,1,0
3330,-127,1,0
3340,-127,1,0
3350,-127,1,0
