race_ms,steer,accel,brake
-1480,0,1,0
-1470,0,1,0
-1460,0,1,0
-1450,0,1,0
-1440,0,1,0
-1430,0,1,0
-1420,0,1,0
-1410,0,1,0
-1400,0,1,0
-1390,0,1,0
-1380,0,1,0
-1370,0,1,0
-1360,0,1,0
-1350,0,1,0
-1340,0,1,0
-1330,0,1,0
-1320,0,1,0
-1310,0,1,0
-1300,0,1,0
-1290,0,1,0
-1280,0,1,0
-1270,0,1,0
-1260,0,1,0
-1250,0,1,0
-1240,0,1,0
-1230,0,1,0
-1220,0,1,0
-1210,0,1,0
-1200,0,1,0
-1190,0,1,0
-1180,0,1,0
-1170,0,1,0
-1160,0,1,0
-1150,0,1,0
-1140,0,1,0
-1130,0,1,0
-1120,0,1,0
-1110,0,1,0
-1100,0,1,0
-1090,0,1,0
-1080,0,1,0
-1070,0,1,0
-1060,0,1,0
-1050,0,1,0
-1040,0,1,0
-1030,0,1,0
-1020,0,1,0
-1010,0,1,0
-1000,0,1,0
-990,0,1,0
-980,0,1,0
-970,0,1,0
-960,0,1,0
-950,0,1,0
-940,0,1,0
-930,0,1,0
-920,0,1,0
-910,0,1,0
-900,0,1,0
-890,0,1,0
-880,0,1,0
-870,0,1,0
-860,0,1,0
-850,0,1,0
-840,0,1,0
-830,0,1,0
-820,0,1,0
-810,0,1,0
-800,0,1,0
-790,0,1,0
-780,0,1,0
-770,0,1,0
-760,0,1,0
-750,0,1,0
-740,0,1,0
-730,0,1,0
-720,0,1,0
-710,0,1,0
-700,0,1,0
-690,0,1,0
-680,0,1,0
-670,0,1,0
-660,0,1,0
-650,0,1,0
-640,0,1,0
-630,0,1,0
-620,0,1,0
-610,0,1,0
-600,0,1,0
-590,0,1,0
-580,0,1,0
-570,0,1,0
-560,0,1,0
-550,0,1,0
-540,0,1,0
-530,0,1,0
-520,0,1,0
-510,0,1,0
-500,0,1,0
-490,0,1,0
-480,0,1,0
-470,0,1,0
-460,0,1,0
-450,0,1,0
-440,0,1,0
-430,0,1,0
-420,0,1,0
-410,0,1,0
-400,0,1,0
-390,0,1,0
-380,0,1,0
-370,0,1,0
-360,0,1,0
-350,0,1,0
-340,0,1,0
-330,0,1,0
-320,0,1,0
-310,0,1,0
-300,0,1,0
-290,0,1,0
-280,0,1,0
-270,0,1,0
-260,0,1,0
-250,0,1,0
-240,0,1,0
-230,0,1,0
-220,0,1,0
-210,0,1,0
-200,0,1,0
-190,0,1,0
-180,0,1,0
-170,0,1,0
-160,0,1,0
-150,0,1,0
-140,0,1,0
-130,0,1,0
-120,0,1,0
-110,0,1,0
-100,0,1,0
-90,0,1,0
-80,0,1,0
-70,0,1,0
-60,0,1,0
-50,0,1,0
-40,0,1,0
-30,0,1,0
-20,0,1,0
-10,0,1,0
0,0,1,0
10,0,1,0
20,0,1,0
30,0,1,0
40,0,1,0
50,0,1,0
60,0,1,0
70,0,1,0
80,0,1,0
90,0,1,0
100,0,1,0
110,0,1,0
120,0,1,0
130,0,1,0
140,0,1,0
150,0,1,0
160,0,1,0
170,0,1,0
180,0,1,0
190,0,1,0
200,0,1,0
210,0,1,0
220,0,1,0
230,0,1,0
240,0,1,0
250,0,1,0
260,0,1,0
270,0,1,0
280,0,1,0
290,0,1,0
300,0,1,0
310,127,1,0
320,127,1,0
330,127,1,0
340,127,1,0
350,127,1,0
360,127,1,0
370,127,1,0
380,127,1,0
390,127,1,0
400,127,1,1
410,127,1,1
420,127,1,0
430,127,1,0
440,127,1,0
450,127,1,0
460,127,1,0
470,127,1,0
480,127,1,0
490,127,1,0
500,127,1,0
510,127,1,0
520,127,1,0
530,127,1,0
540,127,1,0
550,127,1,0
560,127,1,0
570,127,1,0
580,127,1,0
590,127,1,0
600,127,1,0
610,127,1,0
620,127,1,0
630,127,1,0
640,127,1,0
650,127,1,0
660,2,1,0
670,0,1,0
680,0,1,0
690,0,1,0
700,0,1,0
710,0,1,0
720,0,1,0
730,0,1,0
740,0,1,0
750,0,1,0
760,0,1,0
770,0,1,0
780,0,1,0
790,0,1,0
800,0,1,0
810,0,1,0
820,0,1,0
830,0,1,0
840,0,1,0
850,0,1,0
860,127,1,0
870,127,1,0
880,127,1,0
890,127,1,0
900,127,1,0
910,127,1,0
920,127,1,0
930,127,1,0
940,127,1,0
950,127,1,1
960,127,1,1
970,127,1,0
980,127,1,1
990,127,1,0
1000,127,1,1
1010,127,1,1
1020,127,1,0
1030,127,1,1
1040,127,1,0
1050,127,1,0
1060,127,1,1
1070,127,1,1
1080,127,1,1
1090,127,1,1
1100,127,1,1
1110,127,1,1
1120,127,1,0
1130,127,1,1
1140,127,1,1
1150,127,1,1
1160,127,1,0
1170,127,1,1
1180,127,1,1
1190,127,1,0
1200,127,1,1
1210,127,1,1
1220,127,1,1
1230,127,1,0
1240,127,1,1
1250,127,1,1
1260,127,1,0
1270,127,1,1
1280,127,1,0
1290,127,1,1
1300,127,1,0
1310,127,1,0
1320,127,1,0
1330,127,1,1
1340,127,1,1
1350,127,1,0
1360,127,1,0
1370,127,1,1
1380,127,1,1
1390,127,1,0
1400,127,1,0
1410,127,1,1
1420,127,1,0
1430,127,1,0
1440,127,1,0
1450,127,1,0
1460,127,1,0
1470,0,1,0
1480,0,1,0
1490,0,1,0
1500,0,1,0
1510,0,1,0
1520,0,1,0
1530,0,1,0
1540,0,1,0
1550,0,1,0
1560,0,1,0
1570,0,1,0
1580,0,1,0
1590,0,1,0
1600,0,1,0
1610,0,1,0
1620,0,1,0
1630,0,1,0
1640,0,1,0
1650,0,1,0
1660,0,1,0
1670,0,1,0
1680,0,1,0
1690,0,1,0
1700,0,1,0
1710,0,1,0
1720,0,1,0
1730,0,1,0
1740,0,1,0
1750,0,1,0
1760,0,1,0
1770,0,1,0
1780,0,1,0
1790,0,1,0
1800,0,1,0
1810,0,1,0
1820,0,1,0
1830,0,1,0
1840,0,1,0
1850,0,1,0
1860,0,1,0
1870,0,1,0
1880,0,1,0
1890,0,1,0
1900,0,1,0
1910,0,1,0
1920,0,1,0
1930,0,1,0
1940,0,1,0
1950,0,1,0
1960,0,1,0
1970,0,1,0
1980,0,1,0
1990,0,1,0
2000,0,1,0
2010,0,1,0
2020,0,1,0
2030,0,1,0
2040,0,1,0
2050,0,1,0
2060,0,1,0
2070,0,1,0
2080,0,1,0
2090,-9,1,0
2100,-9,1,0
2110,-9,1,0
2120,-9,1,0
2130,-9,1,0
2140,-9,1,0
2150,-9,1,0
2160,-9,1,0
2170,-9,1,0
2180,-9,1,0
2190,-9,1,0
2200,-9,1,0
2210,-9,1,0
2220,9,1,0
2230,9,1,0
2240,9,0,0
2250,9,0,0
2260,9,0,0
2270,9,0,0
2280,9,0,0
2290,9,0,0
2300,9,0,0
2310,9,0,0
2320,9,0,0
2330,9,0,0
2340,9,0,0
2350,9,0,0
2360,0,0,0
2370,0,0,0
2380,0,0,0
2390,0,0,0
2400,0,0,0
2410,0,0,0
2420,0,0,0
2430,0,0,0
2440,0,0,0
2450,0,1,0
2460,0,1,0
2470,0,1,0
2480,0,1,0
2490,0,1,0
2500,0,1,0
2510,0,1,0
2520,0,1,0
2530,0,1,0
2540,0,1,0
2550,0,1,0
2560,0,1,0
2570,0,1,0
2580,0,1,0
2590,0,1,0
2600,0,1,0
2610,0,1,0
2620,0,1,0
2630,0,1,0
2640,0,1,0
2650,0,1,0
2660,0,1,0
2670,0,1,0
2680,0,1,0
2690,0,1,0
2700,0,1,0
2710,0,1,0
2720,0,1,0
2730,0,1,0
2740,0,1,0
2750,0,1,0
2760,0,1,0
2770,-127,1,0
2780,-127,1,0
2790,-127,1,0
2800,-127,1,0
2810,-127,1,0
2820,0,1,0
2830,0,1,0
2840,0,1,0
2850,0,1,0
2860,0,1,0
2870,0,1,0
2880,0,1,0
2890,0,1,0
2900,0,1,0
2910,0,1,0
2920,0,1,0
2930,0,1,0
2940,0,1,0
2950,0,1,0
2960,0,1,0
2970,0,1,0
2980,0,1,0
2990,0,1,0
3000,0,1,0
3010,0,1,0
3020,0,1,0
3030,0,1,0
3040,0,1,0
3050,0,1,0
3060,0,1,0
3070,0,1,0
3080,0,1,0
3090,0,1,0
3100,0,1,0
3110,0,1,0
3120,0,1,0
3130,0,1,0
3140,0,1,0
3150,0,1,0
3160,0,1,0
3170,0,1,0
3180,0,1,0
3190,0,1,0
3200,0,1,0
3210,0,1,0
3220,0,1,0
3230,0,1,0
3240,0,1,0
3250,0,1,0
3260,0,1,0
3270,0,1,0
3280,0,1,0
3290,0,1,0
3300,0,1,0
3310,0,1,0
3320,0,1,0
3330,0,1,0
3340,0,1,0
3350,0,1,0
3360,0,1,0
3370,0,1,0
3380,0,1,0
3390,0,1,0
3400,0,1,0
3410,0,1,0
3420,0,1,0
3430,0,1,0
3440,0,1,0
3450,0,1,0
3460,0,1,0
3470,0,1,0
3480,0,1,0
3490,0,1,0
3500,0,1,0
3510,0,1,0
3520,0,1,0
3530,0,1,0
3540,0,1,0
3550,0,1,0
3560,0,1,0
3570,0,1,0
3580,0,1,0
3590,0,1,0
3600,0,1,0
3610,0,1,0
3620,0,1,0
3630,0,1,0
3640,0,1,0
3650,0,1,0
3660,0,1,0
3670,0,1,0
3680,0,1,0
3690,0,1,0
3700,0,1,0
3710,0,1,0
3720,0,1,0
3730,0,1,0
3740,0,1,0
3750,0,1,0
3760,0,1,0
3770,0,1,0
3780,0,1,0
3790,0,1,0
3800,0,1,0
3810,0,1,0
3820,0,1,0
3830,0,1,0
3840,0,1,0
3850,0,1,0
3860,0,1,0
3870,0,1,0
3880,0,1,0
3890,0,1,0
3900,0,1,0
3910,0,1,0
3920,0,1,0
3930,0,1,0
3940,0,1,0
3950,0,1,0
3960,0,1,0
3970,0,1,0
3980,0,1,0
3990,0,1,0
4000,0,1,0
4010,0,1,0
4020,0,1,0
4030,0,1,0
4040,0,1,0
4050,0,1,0
4060,-46,1,0
4070,-46,1,0
4080,-46,1,0
4090,-46,1,0
4100,-46,1,0
4110,-46,1,0
4120,46,1,0
4130,46,1,0
4140,46,1,0
4150,46,1,0
4160,46,1,0
4170,46,1,0
4180,46,1,0
4190,0,1,0
4200,0,1,0
4210,0,1,0
4220,0,1,0
4230,0,1,0
4240,0,1,0
4250,0,1,0
4260,0,1,0
4270,0,1,0
4280,0,1,0
4290,0,1,0
4300,0,1,0
4310,0,1,0
4320,0,1,0
4330,0,1,0
4340,0,1,0
4350,0,1,0
4360,0,1,0
4370,0,1,0
4380,0,1,0
4390,0,1,0
4400,0,1,0
4410,0,1,0
4420,0,1,0
4430,0,1,0
4440,127,1,0
4450,127,1,0
4460,127,1,0
4470,127,1,0
4480,0,1,0
4490,0,1,0
4500,0,1,0
4510,0,1,0
4520,0,1,0
4530,0,1,0
4540,0,1,0
4550,0,1,0
4560,0,1,0
4570,0,0,0
4580,0,1,0
4590,0,1,0
4600,0,1,0
4610,0,1,0
4620,0,1,0
4630,0,1,0
4640,0,1,0
4650,0,1,0
4660,0,1,0
4670,0,1,0
4680,0,1,0
4690,0,1,0
4700,0,1,0
4710,0,1,0
4720,0,1,0
4730,0,1,0
4740,0,1,0
4750,0,1,0
4760,0,1,0
4770,0,1,0
4780,0,1,0
4790,0,1,0
4800,0,1,0
4810,-107,1,0
4820,-107,1,0
4830,107,1,0
4840,107,1,0
4850,107,1,0
4860,0,1,0
4870,0,1,0
4880,0,1,0
4890,0,1,0
4900,0,1,0
4910,21,1,0
4920,21,1,0
4930,-21,1,0
4940,-21,1,0
4950,0,1,0
4960,0,1,0
4970,0,1,0
4980,0,1,0
4990,0,1,0
5000,127,1,0
5010,127,1,0
5020,127,1,0
5030,127,1,0
5040,127,1,0
5050,127,1,0
5060,127,1,0
5070,127,1,0
5080,127,1,0
5090,127,1,0
5100,127,1,0
5110,87,1,0
5120,87,1,0
5130,-69,1,0
5140,-69,1,0
5150,-69,1,0
5160,-29,1,0
5170,-29,1,0
5180,-29,1,0
5190,-29,1,0
5200,-29,1,0
5210,-29,1,0
5220,-29,1,0
5230,-29,1,0
5240,-29,1,0
5250,-29,1,0
5260,-29,1,0
5270,-29,1,0
5280,-29,1,0
5290,-29,1,0
5300,-29,1,0
5310,-29,1,0
5320,-29,1,0
5330,-29,1,0
5340,-29,1,0
5350,-29,1,0
5360,-29,1,0
5370,-29,1,0
5380,0,1,0
5390,0,1,0
5400,0,1,0
5410,0,1,0
5420,0,1,0
5430,0,1,0
5440,0,1,0
5450,29,1,0
5460,29,1,0
5470,29,1,0
5480,29,1,0
5490,29,1,0
5500,29,1,0
5510,29,1,0
5520,29,1,0
5530,29,1,0
5540,29,1,0
5550,29,1,0
5560,29,1,0
5570,29,1,0
5580,29,1,0
5590,29,1,0
5600,29,1,0
5610,29,1,0
5620,29,1,0
5630,29,1,0
5640,29,1,0
5650,26,1,0
5660,26,1,0
5670,26,1,0
5680,26,1,0
5690,26,1,0
5700,26,1,0
5710,32,1,0
5720,32,1,0
5730,32,1,0
5740,32,1,0
5750,32,1,0
5760,32,1,0
5770,3,1,0
5780,0,1,0
5790,0,1,0
5800,0,1,0
5810,0,1,0
5820,0,1,0
5830,0,1,0
5840,0,1,0
5850,0,1,0
5860,0,1,0
5870,0,1,0
5880,0,1,0
5890,0,1,0
5900,0,1,0
5910,0,1,0
5920,0,1,0
5930,0,1,0
5940,0,1,0
5950,0,1,0
5960,0,0,0
5970,0,0,0
5980,0,0,0
5990,0,1,0
6000,0,1,0
6010,0,1,0
6020,0,1,0
6030,0,1,0
6040,0,1,0
6050,0,1,0
6060,0,1,0
6070,0,1,0
6080,0,1,0
6090,0,1,0
6100,0,1,0
6110,0,1,0
6120,0,1,0
6130,0,1,0
6140,0,1,0
6150,0,1,0
6160,0,1,0
6170,0,1,0
6180,0,1,0
6190,0,1,0
6200,0,1,0
6210,0,1,0
6220,0,1,0
6230,0,1,0
6240,0,1,0
6250,0,1,0
6260,0,1,0
6270,0,1,0
6280,0,1,0
6290,0,1,0
6300,0,1,0
6310,0,1,0
6320,0,1,0
6330,0,1,0
6340,0,1,0
6350,0,1,0
6360,0,1,0
6370,0,1,0
6380,0,1,0
6390,0,1,0
6400,0,1,0
6410,0,1,0
6420,-26,1,0
6430,-26,1,0
6440,-26,1,0
6450,-127,1,0
6460,-127,1,0
6470,-127,1,0
6480,-127,1,0
6490,-127,1,0
6500,-127,1,0
6510,-127,1,0
6520,-127,1,0
6530,-127,1,0
6540,-127,1,0
6550,-127,1,0
6560,-127,1,0
6570,-127,0,0
6580,-127,0,0
6590,-127,1,0
6600,-120,1,0
6610,-127,1,0
6620,-127,1,0
6630,84,1,0
6640,84,1,0
6650,85,1,0
6660,77,1,0
6670,127,1,0
6680,127,1,0
6690,127,1,0
6700,-54,1,0
6710,-54,1,1
6720,-54,1,0
6730,127,1,1
6740,127,1,0
6750,127,1,0
6760,-55,1,0
6770,-55,1,0
6780,-127,1,0
6790,12,1,0
6800,12,1,0
6810,12,1,0
6820,4,1,0
6830,38,1,0
6840,38,1,0
6850,38,1,0
6860,38,1,0
6870,38,1,0
6880,38,1,0
6890,110,1,0
6900,110,1,0
6910,110,1,0
6920,110,1,0
6930,110,1,0
6940,110,1,0
6950,110,1,0
6960,110,1,0
6970,0,1,0
6980,0,1,0
6990,0,1,0
7000,0,1,0
7010,0,1,0
7020,0,1,0
7030,0,1,0
7040,0,1,0
7050,0,1,0
7060,0,1,0
7070,0,1,0
7080,0,1,0
7090,0,1,0
7100,0,1,0
7110,0,1,0
7120,0,1,0
7130,-127,1,0
7140,-127,1,0
7150,-127,1,0
7160,-127,1,0
7170,127,1,0
7180,127,1,0
7190,127,1,0
7200,127,1,0
7210,127,1,0
7220,127,1,0
7230,127,1,0
7240,127,1,0
7250,127,1,0
7260,127,1,0
7270,127,1,0
7280,127,1,0
7290,127,1,0
7300,127,1,0
7310,127,1,0
7320,127,1,0
7330,127,1,0
7340,127,1,0
7350,-127,1,0
7360,-127,1,0
7370,-127,1,0
7380,-127,1,0
7390,-127,1,0
7400,-127,1,0
7410,-127,1,0
7420,-127,1,0
7430,74,1,0
7440,74,1,0
7450,74,1,0
7460,74,1,0
7470,74,1,0
7480,74,1,0
7490,74,1,0
7500,74,1,0
7510,-40,1,0
7520,-40,1,0
7530,-127,1,0
7540,-127,1,0
7550,67,1,0
7560,67,1,0
7570,67,1,0
7580,67,1,0
7590,67,1,0
7600,-40,1,0
7610,-40,1,0
7620,-47,1,0
7630,27,1,0
7640,27,1,0
7650,27,1,0
7660,27,1,0
7670,27,1,0
7680,27,1,0
7690,127,1,0
7700,127,1,0
7710,127,1,0
7720,127,1,0
7730,105,1,0
7740,105,1,0
7750,105,1,0
7760,105,1,0
7770,105,1,0
7780,105,1,0
7790,105,1,0
7800,105,1,0
7810,105,1,0
7820,105,1,0
7830,105,1,0
7840,105,1,0
7850,113,1,0
7860,113,1,0
7870,-81,1,0
7880,-81,1,0
7890,8,1,0
7900,8,1,0
7910,8,1,0
7920,8,1,0
7930,8,1,0
7940,8,1,0
7950,8,1,0
7960,8,1,0
7970,8,1,0
7980,8,1,0
7990,8,1,0
8000,57,1,0
8010,49,1,0
8020,49,1,0
8030,49,1,0
8040,49,1,0
8050,49,1,0
8060,49,1,0
8070,49,1,0
8080,49,1,0
8090,49,1,0
8100,49,1,0
8110,49,1,0
8120,49,1,0
8130,127,1,0
8140,127,1,0
8150,127,1,0
8160,62,1,0
8170,62,1,0
8180,62,1,0
8190,62,1,0
8200,62,1,0
8210,62,1,0
8220,62,1,0
8230,62,1,0
8240,62,1,0
8250,62,1,0
8260,62,1,0
8270,62,1,0
8280,46,1,0
8290,46,1,0
8300,46,1,0
8310,46,1,0
8320,-80,1,0
8330,-80,1,0
8340,-80,1,0
8350,-80,1,0
8360,-80,1,0
8370,-80,1,0
8380,-80,1,0
8390,-80,1,0
8400,-80,1,0
8410,-80,1,0
8420,-31,1,0
8430,-31,1,0
8440,-31,1,0
8450,-31,1,0
8460,-49,1,0
8470,-72,1,0
8480,-72,1,0
8490,-72,1,0
8500,-107,1,0
8510,-107,1,0
8520,-107,1,0
8530,-107,1,0
8540,-44,1,0
8550,-44,1,0
8560,-44,1,0
8570,-44,1,0
8580,-114,1,0
8590,-127,1,0
8600,-127,1,0
8610,-127,1,0
8620,-127,1,0
8630,-127,1,0
8640,12,1,0
8650,-127,1,0
8660,-127,1,0
8670,-127,1,0
8680,-127,1,0
8690,-127,1,0
8700,12,1,0
8710,12,1,0
8720,12,1,0
8730,12,1,0
8740,-24,1,0
8750,-24,1,0
8760,22,1,0
8770,22,1,0
8780,18,1,0
8790,18,1,0
8800,18,1,0
8810,18,1,0
8820,-6,1,0
8830,-6,1,0
8840,-6,1,0
8850,-6,1,0
8860,-6,1,0
8870,-6,1,0
8880,-6,1,0
8890,-6,1,0
8900,18,1,0
8910,18,1,0
8920,18,1,0
8930,18,1,0
8940,18,1,0
8950,-73,1,0
8960,-73,1,0
8970,18,1,0
8980,18,1,0
8990,54,1,0
9000,62,1,0
9010,62,1,0
9020,62,1,0
9030,4,1,0
9040,4,1,0
9050,4,1,0
9060,4,1,0
9070,4,1,0
9080,4,1,0
9090,4,1,0
9100,4,1,0
9110,4,1,0
9120,-95,1,0
9130,-95,1,0
9140,-92,1,0
9150,-92,1,0
9160,-92,1,0
9170,-92,1,0
9180,-92,1,0
9190,-92,1,0
9200,-92,1,0
9210,-92,1,0
9220,-96,1,0
9230,-96,1,0
9240,-96,1,0
9250,96,1,0
9260,96,1,0
9270,96,1,0
9280,96,1,0
9290,96,1,0
9300,96,1,0
9310,96,1,0
9320,96,1,0
9330,96,1,0
9340,96,1,0
9350,96,1,0
9360,96,1,0
9370,96,1,0
9380,96,1,0
9390,0,1,0
9400,27,1,0
9410,27,1,0
9420,27,1,0
9430,27,1,0
9440,27,1,0
9450,27,1,0
9460,27,1,0
9470,27,1,0
9480,27,1,0
9490,0,1,0
9500,0,1,0
9510,0,1,0
9520,0,1,0
9530,0,1,0
9540,0,1,0
9550,0,1,0
9560,0,1,0
9570,0,1,0
9580,0,1,0
9590,0,1,0
9600,0,1,0
9610,0,1,0
9620,0,1,0
9630,0,1,0
9640,0,1,0
9650,0,1,0
9660,0,1,0
9670,-15,1,0
9680,-15,1,0
9690,0,1,0
9700,0,1,0
9710,0,1,0
9720,0,1,0
9730,0,1,0
9740,0,1,0
9750,0,1,0
9760,0,1,0
9770,0,1,0
9780,0,1,0
9790,6,1,0
9800,-7,1,0
9810,-7,1,0
9820,-7,1,0
9830,-7,1,0
9840,-7,1,0
9850,-7,1,0
9860,-7,1,0
9870,-7,1,0
9880,-7,1,0
9890,-7,1,0
9900,-7,1,0
9910,1,1,0
9920,1,1,0
9930,1,1,0
9940,1,1,1
9950,1,1,0
9960,1,1,0
9970,1,1,1
9980,1,1,0
9990,1,1,0
10000,1,1,0
10010,1,1,0
10020,-15,1,0
10030,-15,1,0
10040,-15,1,0
10050,-15,1,0
10060,-15,1,0
10070,-2,1,0
10080,-2,1,0
10090,-2,1,0
10100,6,1,0
10110,6,1,0
10120,6,1,0
10130,6,1,0
10140,127,1,0
10150,127,1,0
10160,127,1,0
10170,127,1,0
10180,127,1,0
10190,127,1,0
10200,127,1,0
10210,127,1,0
10220,127,1,0
10230,0,1,0
10240,0,1,0
10250,0,1,0
10260,0,1,0
10270,0,1,0
10280,0,1,0
10290,0,1,0
10300,0,1,0
10310,-109,1,0
10320,-109,1,0
10330,-109,1,0
10340,-109,1,0
10350,-109,1,0
10360,-109,1,0
10370,-109,1,0
10380,-109,1,0
10390,-109,1,0
10400,-109,1,0
10410,-109,1,0
10420,-109,1,0
10430,-109,1,0
10440,109,1,0
10450,83,1,0
10460,83,1,0
10470,83,1,0
10480,83,1,0
10490,101,1,0
10500,101,1,0
10510,101,1,0
10520,101,1,0
10530,101,1,0
10540,101,1,0
10550,101,1,0
10560,127,1,0
10570,127,1,0
10580,127,1,0
10590,127,1,0
10600,127,1,0
10610,127,1,0
10620,127,1,0
10630,127,1,0
10640,127,1,0
10650,127,1,0
10660,127,1,0
10670,127,1,0
10680,127,1,0
10690,127,1,0
10700,127,1,0
10710,127,1,0
10720,127,1,0
10730,126,1,0
10740,126,1,0
10750,126,1,0
10760,126,1,0
10770,125,1,0
10780,125,1,0
10790,82,1,0
10800,82,1,0
10810,81,1,0
10820,81,1,0
10830,80,1,0
10840,122,1,0
10850,121,1,0
10860,120,1,0
10870,120,1,0
10880,119,1,0
10890,119,1,0
10900,118,1,0
10910,117,1,0
10920,117,1,0
10930,116,1,0
10940,115,1,0
10950,115,1,0
10960,114,1,0
10970,114,1,0
10980,61,1,0
10990,61,1,0
11000,60,1,0
11010,60,1,0
11020,59,1,0
11030,59,1,0
11040,59,1,0
11050,59,1,0
11060,110,1,0
11070,110,1,0
11080,110,1,0
11090,76,1,0
11100,76,1,0
11110,76,1,0
11120,76,1,0
11130,76,1,0
11140,76,1,0
11150,77,1,0
11160,77,1,0
11170,111,1,0
11180,111,1,0
11190,112,1,0
11200,112,1,0
11210,68,1,0
11220,68,1,0
11230,62,1,0
11240,62,1,0
11250,67,1,0
11260,67,1,0
11270,68,1,0
11280,69,1,0
11290,117,1,0
11300,118,1,0
11310,115,1,0
11320,115,1,0
11330,71,1,0
11340,71,1,0
11350,72,1,0
11360,73,1,0
11370,77,1,0
11380,41,1,0
11390,123,1,0
11400,124,1,0
11410,42,1,0
11420,43,1,0
11430,43,1,0
11440,-1,1,0
11450,-1,1,0
11460,-1,1,0
11470,-1,1,0
11480,0,1,0
11490,0,1,0
11500,0,1,0
11510,0,1,0
11520,0,1,0
11530,0,1,0
11540,0,1,0
11550,0,1,1
