race_ms,steer,accel,brake
-1520,-127,0,1
-1510,-127,0,1
-1500,-127,0,1
-1490,-127,0,1
-1480,-127,0,1
-1470,-127,0,1
-1460,-127,0,1
-1450,-127,0,1
-1440,-127,0,1
-1430,-127,0,1
-1420,-127,0,1
-1410,-127,0,1
-1400,-127,0,1
-1390,-127,0,1
-1380,-127,1,1
-1370,-127,1,1
-1360,-127,1,1
-1350,-127,1,1
-1340,-127,1,1
-1330,-127,1,1
-1320,-127,1,1
-1310,-127,1,1
-1300,-127,1,1
-1290,-127,1,1
-1280,-127,1,1
-1270,-127,1,1
-1260,-127,1,1
-1250,-127,1,1
-1240,-127,1,1
-1230,-127,1,1
-1220,-127,1,1
-1210,-127,1,1
-1200,-127,1,1
-1190,-127,1,1
-1180,-127,1,1
-1170,-127,1,1
-1160,-127,1,1
-1150,-127,1,1
-1140,-127,1,1
-1130,-127,1,1
-1120,-127,1,1
-1110,-127,1,1
-1100,-127,1,1
-1090,-127,1,1
-1080,-127,1,1
-1070,-127,1,1
-1060,-127,1,1
-1050,-127,1,1
-1040,-127,1,1
-1030,-127,1,1
-1020,-127,1,1
-1010,-127,1,1
-1000,-127,1,1
-990,-127,1,1
-980,-127,1,1
-970,-127,1,1
-960,-127,1,1
-950,-127,1,1
-940,-127,1,1
-930,-127,1,1
-920,-127,1,1
-910,-127,1,1
-900,-127,1,1
-890,-127,1,1
-880,-127,1,1
-870,-127,1,1
-860,-127,1,1
-850,-127,1,1
-840,-127,1,1
-830,-127,1,1
-820,-127,1,1
-810,-127,1,1
-800,-127,1,1
-790,-127,1,1
-780,-127,1,1
-770,-127,1,1
-760,-127,1,1
-750,-127,1,1
-740,-127,1,1
-730,-127,1,1
-720,-127,1,1
-710,-127,1,1
-700,-127,1,1
-690,-127,1,1
-680,-127,1,1
-670,-127,1,1
-660,-127,1,1
-650,-127,1,1
-640,-127,1,1
-630,-127,1,1
-620,-127,1,1
-610,-127,1,1
-600,-127,1,1
-590,-127,1,1
-580,-127,1,1
-570,-127,1,1
-560,-127,1,1
-550,-127,1,1
-540,-127,1,1
-530,-127,1,1
-520,-127,1,1
-510,-127,1,1
-500,-127,1,1
-490,-127,1,1
-480,-127,1,1
-470,-127,1,1
-460,-127,1,1
-450,-127,1,1
-440,-127,1,1
-430,-127,1,1
-420,-127,1,1
-410,-127,1,1
-400,-127,1,1
-390,-127,1,1
-380,-127,1,1
-370,-127,1,1
-360,-127,1,1
-350,-127,1,1
-340,-127,1,1
-330,-127,1,1
-320,-127,1,1
-310,-127,1,1
-300,-127,1,1
-290,-127,1,1
-280,-127,1,1
-270,-127,1,1
-260,-127,1,1
-250,-127,1,1
-240,-127,1,1
-230,-127,1,1
-220,-127,1,1
-210,-127,1,1
-200,-127,1,1
-190,-127,1,1
-180,-127,1,1
-170,-127,1,1
-160,-127,1,1
-150,-127,1,1
-140,-127,1,1
-130,-127,1,1
-120,-127,1,1
-110,-127,1,1
-100,-127,1,1
-90,-127,1,1
-80,-127,1,1
-70,-127,1,1
-60,-127,1,1
-50,-127,1,1
-40,-127,1,1
-30,-127,1,1
-20,-127,1,1
-10,-122,1,1
0,-122,1,1
10,-122,1,1
20,-122,1,1
30,-122,1,1
40,-123,1,1
50,-123,1,1
60,-126,1,1
70,-126,1,1
80,-127,1,1
90,-127,1,1
100,-127,1,1
110,-127,1,1
120,-127,1,1
130,-127,1,1
140,-127,1,1
150,-127,1,1
160,-127,1,1
170,-127,1,1
180,-127,1,1
190,-127,1,1
200,-127,1,1
210,-127,1,1
220,-127,1,1
230,-127,1,1
240,-127,1,1
250,-127,1,0
260,-127,1,0
270,-127,1,0
280,-127,1,0
290,-127,1,0
300,-127,1,0
310,-127,1,0
320,-127,1,0
330,-127,1,0
340,-127,1,0
350,-127,1,0
360,-127,1,0
370,-127,1,0
380,-127,1,0
390,-127,1,1
400,-127,1,1
410,-127,1,1
420,-127,1,1
430,-127,1,1
440,-127,1,1
450,-127,1,1
460,-127,1,1
470,-127,1,1
480,-127,1,1
490,-127,1,1
500,-127,1,1
510,-127,1,1
520,-127,1,1
530,-127,1,1
540,-127,1,1
550,-127,1,1
560,-127,1,1
570,-127,1,1
580,-127,1,1
590,-127,1,1
600,-127,1,1
610,-127,1,1
620,-126,1,1
630,-123,1,1
640,-115,1,1
650,-108,1,1
660,-97,1,1
670,-88,1,1
680,-77,1,1
690,-67,1,1
700,-56,1,1
710,-47,1,1
720,-38,1,1
730,-33,1,1
740,-32,1,1
750,-36,1,1
760,-42,1,1
770,-53,1,1
780,-64,1,1
790,-77,1,1
800,-90,1,1
810,-104,1,1
820,-114,1,1
830,-122,1,1
840,-124,1,1
850,-125,1,1
860,-126,1,1
870,-61,1,1
880,-65,1,1
890,-74,1,1
900,-80,1,1
910,-85,1,1
920,-91,1,1
930,-99,1,1
940,-99,1,1
950,-103,1,1
960,-104,1,1
970,-103,1,1
980,-101,1,1
990,-101,1,1
1000,-93,1,1
1010,-87,1,1
1020,-82,1,1
1030,-87,1,1
1040,-83,1,1
1050,-79,1,1
1060,-77,1,1
1070,-77,1,1
1080,-77,1,1
1090,-77,1,1
1100,-65,1,1
1110,-65,1,1
1120,-65,1,1
1130,-63,1,1
1140,-57,1,1
1150,-48,1,1
1160,-39,1,1
1170,-30,1,1
1180,-24,1,1
1190,-27,1,1
1200,-29,1,1
1210,-36,1,1
1220,-45,1,1
1230,-51,1,1
1240,-60,1,1
1250,-66,1,1
1260,-119,1,1
1270,-119,1,1
1280,-119,1,1
1290,-119,1,1
1300,-127,1,1
1310,-127,1,1
1320,-127,1,1
1330,-127,1,1
1340,-127,1,1
1350,-127,1,1
1360,-127,1,1
1370,-127,1,1
1380,-127,1,1
1390,-127,1,1
1400,-127,1,1
1410,127,1,1
1420,121,1,1
1430,76,1,1
1440,69,1,1
1450,127,1,1
1460,127,1,1
1470,127,1,1
1480,127,1,1
1490,127,1,1
1500,-127,1,1
1510,-127,1,1
1520,-127,1,1
1530,-127,1,0
1540,-127,1,0
1550,-127,1,0
1560,-127,1,0
1570,-127,1,0
1580,-127,1,0
1590,-127,1,0
1600,-127,1,0
1610,-127,1,0
1620,-127,1,0
1630,-127,1,0
1640,-127,1,0
1650,-127,1,0
1660,-127,1,0
1670,-127,1,0
1680,-127,1,0
1690,-127,1,0
1700,-127,1,0
1710,-127,1,0
1720,-127,1,0
1730,-127,1,0
1740,-127,1,0
1750,-127,1,0
1760,-127,1,0
1770,-127,1,0
1780,-127,1,0
1790,-127,1,0
1800,-127,1,0
1810,-127,1,0
1820,-127,1,0
1830,-127,1,0
1840,-127,1,0
1850,-127,1,0
1860,-127,1,0
1870,-127,1,0
1880,-127,1,0
1890,-127,1,0
1900,-127,1,0
1910,-127,1,0
1920,-127,1,0
1930,-127,1,0
1940,-127,1,0
1950,-127,1,0
1960,-127,1,0
1970,-127,1,0
1980,-127,1,0
1990,-127,1,0
2000,-127,1,0
2010,-127,1,0
2020,-127,1,0
2030,-127,1,0
2040,-127,1,0
2050,-127,1,0
2060,-127,1,0
2070,-127,1,0
2080,-127,1,0
2090,-127,1,0
2100,-127,1,0
2110,-127,1,0
2120,-127,1,0
2130,-127,1,0
2140,-127,1,0
2150,-127,1,0
2160,-127,1,0
2170,-127,1,0
2180,-127,1,0
2190,-127,1,0
2200,-127,1,0
2210,-127,1,0
2220,-127,1,0
2230,-127,1,0
2240,-127,1,0
2250,-127,1,0
2260,-127,1,0
2270,-127,1,0
2280,-127,1,0
2290,-127,1,0
2300,-127,1,0
2310,-127,1,0
2320,-127,1,0
2330,-127,1,0
2340,-127,1,0
2350,-127,1,0
2360,-127,1,0
2370,-127,1,0
2380,-127,1,0
2390,0,1,0
2400,0,1,0
2410,-13,1,0
2420,-13,1,0
2430,0,1,0
2440,0,1,0
2450,0,1,0
2460,0,1,0
2470,0,1,0
2480,0,1,0
2490,0,1,0
2500,0,1,0
2510,0,1,0
2520,0,1,0
2530,0,1,0
2540,0,1,0
2550,0,1,0
2560,0,1,0
2570,0,1,0
2580,0,1,0
2590,0,1,0
2600,0,1,0
2610,0,1,0
2620,0,1,0
2630,0,1,0
2640,0,1,0
2650,0,1,0
2660,0,1,0
2670,0,1,0
2680,0,1,0
2690,0,1,0
2700,0,1,0
2710,0,1,0
2720,18,1,0
2730,62,1,0
2740,62,1,0
2750,106,1,0
2760,106,1,0
2770,62,1,0
2780,21,1,0
2790,0,1,0
2800,-19,1,0
2810,-64,1,0
2820,-64,1,0
2830,-64,1,0
2840,-64,1,0
2850,-64,1,0
2860,-19,1,0
2870,0,1,0
2880,0,1,0
2890,0,1,0
2900,0,1,0
2910,0,1,0
2920,126,1,0
2930,126,1,0
2940,126,1,0
2950,127,1,0
2960,127,1,0
2970,85,1,0
2980,85,1,0
2990,85,1,0
3000,84,1,0
3010,84,1,0
3020,99,1,0
3030,92,1,0
3040,92,1,0
3050,92,1,0
3060,0,1,0
3070,0,1,0
3080,0,1,0
3090,0,1,0
3100,0,1,0
3110,0,1,0
3120,0,1,0
3130,0,1,0
3140,0,1,0
3150,0,1,0
3160,0,1,0
3170,72,1,0
3180,55,1,0
3190,98,1,0
3200,89,1,0
3210,89,1,0
3220,89,1,0
3230,89,1,0
3240,90,1,0
3250,1,1,0
3260,1,1,0
3270,1,1,0
3280,1,1,0
3290,2,1,0
3300,2,1,0
3310,2,1,0
3320,3,1,0
3330,3,1,0
3340,3,1,0
3350,4,1,0
3360,4,1,0
3370,4,1,0
3380,4,1,0
3390,90,1,0
3400,94,1,0
3410,96,1,0
3420,78,1,0
3430,74,1,0
3440,72,1,0
3450,72,1,0
3460,127,1,0
3470,127,1,0
3480,7,1,0
3490,7,1,0
3500,7,1,0
3510,7,1,0
3520,7,1,0
3530,-6,1,0
3540,-6,1,0
3550,-6,1,0
3560,-6,1,0
3570,-6,1,0
3580,-7,1,0
3590,-7,1,0
3600,-7,1,0
3610,-7,1,0
3620,-7,1,0
3630,-8,1,0
3640,-7,1,0
3650,-7,1,0
3660,-7,1,0
3670,-7,1,0
3680,-7,1,0
3690,-8,1,0
3700,-8,1,0
3710,-8,1,0
3720,2,1,0
3730,2,1,0
3740,2,1,0
3750,2,1,0
3760,1,1,0
3770,101,1,0
3780,101,1,0
3790,109,1,0
3800,109,1,0
3810,108,1,0
3820,0,1,0
3830,0,1,0
3840,0,1,0
3850,0,1,0
3860,1,1,0
3870,4,1,0
3880,10,1,0
3890,17,1,0
3900,101,1,0
3910,104,1,0
3920,-19,1,0
3930,-19,1,0
3940,-19,1,0
3950,-19,1,0
3960,-19,1,0
3970,-19,1,0
3980,-19,1,0
3990,-19,1,0
4000,-19,1,0
4010,-19,1,0
4020,63,1,0
4030,46,1,0
4040,51,1,0
4050,57,1,0
4060,53,1,0
4070,-10,1,0
4080,-13,1,0
4090,-15,1,0
4100,-14,1,0
4110,-13,1,0
4120,-15,1,0
4130,-24,1,0
4140,-38,1,0
4150,-55,1,0
4160,-70,1,0
4170,-83,1,0
4180,-88,1,0
4190,-76,1,0
4200,-76,1,0
4210,-76,1,0
4220,-76,1,0
4230,-76,1,0
4240,-112,1,0
4250,-127,1,0
4260,-127,1,0
4270,-127,1,0
4280,-127,1,0
4290,-127,1,0
4300,-127,1,0
4310,-127,1,0
4320,-77,1,0
4330,-77,1,0
4340,-77,1,0
4350,-77,1,0
4360,-77,1,0
4370,-15,1,0
4380,-15,1,0
4390,-15,1,0
4400,-15,1,0
4410,-15,1,0
4420,-15,1,0
4430,-15,1,0
4440,-15,1,0
4450,-15,1,0
4460,-15,1,0
4470,-15,1,0
4480,-15,1,0
4490,-15,1,0
4500,-15,1,0
4510,-15,1,0
4520,-15,1,0
4530,-15,1,0
4540,-15,1,0
4550,-15,1,0
4560,-15,1,0
4570,-15,1,0
4580,-15,1,0
4590,-15,1,0
4600,-15,1,0
4610,-15,1,0
4620,-15,1,0
4630,-15,1,0
4640,-15,1,0
4650,-15,1,0
4660,-15,1,0
4670,-15,1,0
4680,-15,1,0
4690,-15,1,0
4700,-15,1,0
4710,-15,1,0
4720,-19,1,0
4730,-101,1,0
4740,-101,1,0
4750,-101,1,0
4760,-101,1,0
4770,-101,1,0
4780,-30,1,0
4790,-30,1,0
4800,-30,1,0
4810,-30,1,0
4820,-30,1,0
4830,-26,1,0
4840,-26,1,0
4850,-26,1,0
4860,-26,1,0
4870,-25,1,0
4880,-54,1,0
4890,-54,1,0
4900,-54,1,0
4910,-54,1,0
4920,-54,1,0
4930,-32,1,0
4940,-33,1,0
4950,1,1,0
4960,1,1,0
4970,0,1,0
4980,0,1,0
4990,0,1,0
5000,0,1,0
5010,0,1,0
5020,0,1,0
5030,0,1,0
5040,0,1,0
5050,0,1,0
5060,0,1,0
5070,0,1,0
5080,0,1,0
5090,0,1,0
5100,0,1,0
