t_race_ms,steer,accel,brake
-50,0,1,0
0,0,1,0
50,127,1,0
100,127,1,0
150,0,1,0
200,0,1,0
250,0,1,0
300,127,1,0
350,0,1,0
400,0,1,0
450,0,1,0
500,127,1,0
550,0,1,0
600,0,1,0
650,0,1,0
700,0,1,0
750,0,1,0
800,0,1,0
850,0,1,0
900,0,1,0
950,0,1,0
1000,0,1,0
1050,0,1,0
1100,0,1,0
1150,0,1,0
1200,0,1,0
1250,0,1,0
1300,0,1,0
1350,-127,1,0
1400,0,1,0
1450,0,1,0
1500,0,1,0
1550,0,1,0
1600,0,1,0
1650,0,1,0
1700,0,1,0
1750,0,1,0
1800,-127,1,0
1850,0,1,0
1900,0,1,0
1950,-127,1,0
2000,-127,1,0
2050,-127,1,0
2100,-127,1,0
2150,0,1,0
2200,0,1,0
2250,0,1,0
2300,0,1,0
2350,0,1,0
2400,0,1,0
2450,0,1,0
2500,0,1,0
2550,0,1,0
2600,0,1,0
2650,0,1,0
2700,0,1,0
2750,0,1,0
2800,0,1,0
2850,0,1,0
2900,0,1,0
2950,0,1,0
3000,0,1,0
3050,-127,1,0
3100,0,1,0
3150,0,1,0
3200,0,1,0
3250,0,1,0
3300,0,1,0
3350,0,1,0
3400,0,1,0
3450,0,1,0
3500,0,1,0
3550,0,1,0
3600,0,1,0
3650,0,1,0
3700,0,1,0
3750,0,1,0
3800,0,1,0
3850,0,1,0
3900,0,1,0
3950,0,1,0
4000,0,1,0
4050,0,1,0
4100,0,1,0
4150,0,1,0
4200,0,1,0
4250,0,1,0
4300,0,1,0
4350,0,1,0
4400,0,1,0
4450,0,1,0
4500,0,1,0
4550,0,1,0
4600,0,1,0
4650,0,1,0
4700,0,1,0
4750,0,1,0
4800,0,1,0
4850,0,1,0
4900,0,1,0
4950,0,1,0
5000,0,1,0
5050,0,1,0
5100,0,1,0
5150,127,1,0
5200,0,1,0
5250,0,1,0
5300,0,1,0
5350,127,1,0
5400,0,1,0
5450,0,1,0
5500,0,1,0
5550,127,1,0
5600,0,1,0
5650,0,1,0
5700,0,1,0
5750,0,1,0
5800,0,1,0
5850,0,1,0
5900,0,1,0
5950,0,1,0
6000,127,1,0
6050,0,1,0
6100,0,1,0
6150,0,1,0
6200,0,1,0
6250,0,1,0
6300,0,1,0
6350,0,1,0
6400,0,1,0
6450,0,1,0
6500,0,1,0
6550,127,1,0
6600,0,1,0
6650,0,1,0
6700,0,1,0
6750,0,1,0
6800,0,1,0
6850,0,1,0
6900,0,1,0
6950,0,1,0
7000,0,1,0
7050,0,1,0
7100,0,1,0
7150,0,1,0
7200,0,1,0
7250,0,1,0
7300,0,1,0
7350,0,1,0
7400,0,1,0
7450,0,1,0
7500,127,1,0
7550,0,1,0
7600,0,1,0
7650,0,1,0
7700,0,1,0
7750,0,1,0
7800,0,1,0
7850,0,1,0
7900,0,1,0
7950,0,1,0
8000,0,1,0
8050,0,1,0
8100,0,1,0
8150,0,1,0
8200,127,1,0
8250,0,1,0
8300,0,1,0
8350,0,1,0
8400,0,1,0
8450,0,1,0
8500,0,1,0
8550,0,1,0
8600,0,1,0
8650,0,1,0
8700,0,1,0
8750,127,1,0
8800,0,1,0
8850,0,1,0
8900,0,1,0
8950,0,1,0
9000,0,1,0
9050,0,1,0
9100,0,1,0
9150,0,1,0
9200,0,1,0
9250,0,1,0
9300,0,1,0
9350,0,1,0
9400,0,1,0
9450,0,1,0
9500,0,1,0
9550,0,1,0
9600,0,1,0
9650,0,1,0
9700,0,1,0
9750,0,1,0
9800,0,1,0
9850,0,1,0
9900,0,1,0
9950,0,1,0
10000,-127,1,0
10050,-127,1,0
10100,0,1,0
10150,0,1,0
10200,0,1,0
10250,0,1,0
10300,0,1,0
10350,127,1,0
10400,0,1,0
10450,0,1,0
10500,0,1,0
10550,0,1,0
10600,0,1,0
10650,0,1,0
10700,0,1,0
10750,0,1,0
10800,0,1,0
10850,0,1,0
10900,0,1,0
10950,0,1,0
11000,0,1,0
11050,0,1,0
11100,0,1,0
11150,0,1,0
11200,0,1,0
11250,0,1,0
11300,0,1,0
11350,0,1,0
11400,0,1,0
11450,0,1,0
11500,0,1,0
11550,127,1,0
11600,0,1,0
11650,0,1,0
11700,0,1,0
11750,0,1,0
11800,0,1,0
11850,0,1,0
11900,0,1,0
11950,0,1,0
12000,0,1,0
12050,0,1,0
12100,0,1,0
12150,0,1,0
12200,0,1,0
12250,0,1,0
12300,0,1,0
12350,0,1,0
12400,0,1,0
12450,0,1,0
12500,0,1,0
12550,0,1,0
12600,127,1,0
12650,0,1,0
12700,0,1,0
12750,0,1,0
12800,0,1,0
12850,127,1,0
12900,127,1,0
12950,0,1,0
13000,0,1,0
13050,0,1,0
13100,0,1,0
13150,0,1,0
