time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen,wetness
530,1360.83,9.98201,1107.94,3.6,1,3.58528e-07,1,0,3.13963,0.226605,-0.0177906,0.00850152,0.993551,0.113064,-6.83876e-06,,,-1,1,0,,,,,,,,,3.06324e-42
540,1360.83,9.9797,1107.9,3.6,1,3.58528e-07,1,0,-3.14158,9.56042e-08,-7.17747e-07,3.58874e-07,1,4.7799e-08,-8.55559e-06,,,-1,1,0,,,,,,,,,3.06324e-42
550,1360.82,9.97971,1107.82,3.6,1,3.58528e-07,1,0,-3.14157,-2.03335e-08,-6.85543e-07,3.42771e-07,1,-1.017e-08,-9.43937e-06,,,-1,1,0,,,,,,,,,3.06324e-42
560,1359.08,9.98589,1108.08,3.6,1,-3.58528e-07,1,0,-3.14158,1.98649e-07,7.0885e-07,-3.54424e-07,1,9.9327e-08,-7.22922e-06,,,-1,1,0,,,,,,,,,3.06324e-42
570,1359.08,9.99039,1108.07,3.6,1,-3.58528e-07,1,0,3.138,-0.303627,0.0246877,-0.011372,0.988432,-0.151241,-5.41754e-06,,,-1,1,0,,,,,,,,,3.06324e-42
580,1359.08,9.99081,1108,3.6,1,-3.58528e-07,1,0,-3.14158,-0.309698,-1.1892e-06,-3.44319e-07,0.988035,-0.154231,-5.70292e-06,,,-1,1,0,,,,,,,,,3.06324e-42
590,1358.44,9.9938,1105,3.6,1,-3.58528e-07,1,0,-3.14158,-0.247723,-3.3895e-07,-3.66049e-07,0.992339,-0.123545,-4.22947e-06,,,-1,1,0,,,,,,,,,3.06324e-42
600,1358.44,9.9938,1105,3.6,1,-3.58528e-07,1,0,-3.14158,-0.247723,-3.3895e-07,-3.66049e-07,0.992339,-0.123545,-4.22947e-06,,,-1,1,0,,,,,,,,,3.06324e-42
610,1360.04,9.99055,1104.42,3.6,1,3.58528e-07,1,0,-3.14158,-8.06763e-08,-6.90371e-07,3.45185e-07,1,-4.03408e-08,-7.77801e-06,,,-1,1,0,,,,,,,,,3.06324e-42
620,1360,9.99062,1104.33,3.6,1,3.58528e-07,1,0,-3.14158,-2.06783e-07,-6.86643e-07,3.43321e-07,1,-1.03394e-07,-8.47435e-06,,,-1,1,0,,,,,,,,,10.3556
630,1360,9.99689,1104.27,3.6,1,3.58528e-07,1,0,-3.14159,-1.72115e-06,0.659087,-0.323611,0.94619,1.46003e-07,-3.08618e-06,,,-1,1,0,,,,,,,,,10.3565
640,1360.71,9.9932,1106.94,3.6,1,3.58528e-07,1,0,3.12841,0.553505,-0.054617,0.0205495,0.961709,0.273301,-7.37741e-06,,,-1,1,0,,,,,,,,,10.3599
650,1360.72,9.97961,1106.95,3.6,1,3.58528e-07,1,0,-3.14155,0.00507961,-0.000382543,0.000191329,0.999997,0.0025398,-2.42143e-05,,,-1,1,0,,,,,,,,,10.3552
660,1360.7,9.9796,1106.85,3.6,1,3.58528e-07,1,0,-3.14154,-1.02359e-07,-6.92234e-07,3.46116e-07,1,-5.11885e-08,-2.64723e-05,,,-1,1,0,,,,,,,,,10.3579
670,1359.87,10.3542,1104.26,3.6,1,1.79891e-06,2.96412e-07,-1,-3.98202e-06,8.10712e-07,-2.58828,1.93194e-06,1.9129e-07,-1,-0.308834,,,-1,1,0,,,,,,,,,10.358
