#tmauto-artifact 1
#map_uid buNzfsVlp2NF2oWtHM3729dEylg
#map_sha256 17cfebb228862cc4fe3d6cbb81c80d59e5f87bca9bafb5c2aa5e4136a10d145b
#container_ticks 4200
#prefix 153
#declared_ms 41800
#declared_cps 20900,41800
#template wobble7919 gas=on ticks=9000
#tape_sha256 09cf59fff006646b8ea56f2a3fb21e8782d7a027d0013cc62af1fb6219513dba
#file_sha256 fa0b9e6648d3de2bc4ec8c16de7d3db16156e0d22e6e5c868700548507f08bba
#producer tmauto optimize
#parent d059e58e4d562f8390ef96c08ea3977242148d554d82b3cedcca57efd7eccc26
#parent_path /var/svcscm/persistent/private-30d/tm-autopilot/C2-drive/bank-summer01/summer01-finish-36698.artifact.tsv
#cut n/a
#macro_steer n/a
#note (1+lambda) hill climb on finish time, plain oracle only, no memory readout; server-simulated finish 36.618 at the moment of banking
tick	steer	gas	brake	respawn
0	1	1	0	0
1	-5	1	0	0
2	-11	1	0	0
3	8	1	0	0
4	2	1	0	0
5	-4	1	0	0
6	-10	1	0	0
7	9	1	0	0
8	3	1	0	0
9	-3	1	0	0
10	-9	1	0	0
11	10	1	0	0
12	4	1	0	0
13	-2	1	0	0
14	-8	1	0	0
15	11	1	0	0
16	5	1	0	0
17	-1	1	0	0
18	-7	1	0	0
19	12	1	0	0
20	6	1	0	0
21	0	1	0	0
22	-6	1	0	0
23	-12	1	0	0
24	7	1	0	0
25	1	1	0	0
26	-5	1	0	0
27	-11	1	0	0
28	8	1	0	0
29	2	1	0	0
30	-4	1	0	0
31	-10	1	0	0
32	9	1	0	0
33	3	1	0	0
34	-3	1	0	0
35	-9	1	0	0
36	10	1	0	0
37	4	1	0	0
38	-2	1	0	0
39	-8	1	0	0
40	11	1	0	0
41	5	1	0	0
42	-1	1	0	0
43	-7	1	0	0
44	12	1	0	0
45	6	1	0	0
46	0	1	0	0
47	-6	1	0	0
48	-12	1	0	0
49	7	1	0	0
50	1	1	0	0
51	-5	1	0	0
52	-11	1	0	0
53	8	1	0	0
54	2	1	0	0
55	-4	1	0	0
56	-10	1	0	0
57	9	1	0	0
58	3	1	0	0
59	-3	1	0	0
60	-9	1	0	0
61	10	1	0	0
62	4	1	0	0
63	-2	1	0	0
64	-8	1	0	0
65	11	1	0	0
66	5	1	0	0
67	-1	1	0	0
68	-7	1	0	0
69	12	1	0	0
70	6	1	0	0
71	0	1	0	0
72	-6	1	0	0
73	-12	1	0	0
74	7	1	0	0
75	1	1	0	0
76	-5	1	0	0
77	-11	1	0	0
78	8	1	0	0
79	2	1	0	0
80	-4	1	0	0
81	-10	1	0	0
82	9	1	0	0
83	3	1	0	0
84	-3	1	0	0
85	-9	1	0	0
86	10	1	0	0
87	4	1	0	0
88	-2	1	0	0
89	-8	1	0	0
90	11	1	0	0
91	5	1	0	0
92	-1	1	0	0
93	-7	1	0	0
94	12	1	0	0
95	6	1	0	0
96	0	1	0	0
97	-6	1	0	0
98	-12	1	0	0
99	7	1	0	0
100	1	1	0	0
101	-5	1	0	0
102	-11	1	0	0
103	8	1	0	0
104	2	1	0	0
105	-4	1	0	0
106	-10	1	0	0
107	9	1	0	0
108	3	1	0	0
109	-3	1	0	0
110	-9	1	0	0
111	10	1	0	0
112	4	1	0	0
113	-2	1	0	0
114	-8	1	0	0
115	11	1	0	0
116	5	1	0	0
117	-1	1	0	0
118	-7	1	0	0
119	12	1	0	0
120	6	1	0	0
121	0	1	0	0
122	-6	1	0	0
123	-12	1	0	0
124	7	1	0	0
125	1	1	0	0
126	-5	1	0	0
127	-11	1	0	0
128	8	1	0	0
129	2	1	0	0
130	-4	1	0	0
131	-10	1	0	0
132	9	1	0	0
133	3	1	0	0
134	-3	1	0	0
135	-9	1	0	0
136	10	1	0	0
137	4	1	0	0
138	-2	1	0	0
139	-8	1	0	0
140	11	1	0	0
141	5	1	0	0
142	-1	1	0	0
143	-7	1	0	0
144	12	1	0	0
145	6	1	0	0
146	0	1	0	0
147	-6	1	0	0
148	-12	1	0	0
149	7	1	0	0
150	1	1	0	0
151	-5	1	0	0
152	-11	1	0	0
153	-127	1	0	0
154	-127	1	0	0
155	-127	1	0	0
156	-127	1	0	0
157	-127	1	0	0
158	-127	1	0	0
159	-127	1	0	0
160	-127	1	0	0
161	-127	1	0	0
162	-127	1	0	0
163	-127	1	0	0
164	-127	1	0	0
165	-127	1	0	0
166	-127	1	0	0
167	-127	1	0	0
168	-127	1	0	0
169	-127	1	0	0
170	-127	1	0	0
171	-127	1	0	0
172	-127	1	0	0
173	-127	1	0	0
174	-127	1	0	0
175	-127	1	0	0
176	-127	1	0	0
177	-127	1	0	0
178	-127	1	0	0
179	-127	1	0	0
180	-127	1	0	0
181	-127	1	0	0
182	-127	1	0	0
183	-127	1	0	0
184	-127	1	0	0
185	-127	1	0	0
186	-127	1	0	0
187	-127	1	0	0
188	-127	1	0	0
189	-127	1	0	0
190	-127	1	0	0
191	-127	1	0	0
192	-127	1	0	0
193	-127	1	0	0
194	-127	1	0	0
195	-127	1	0	0
196	-127	1	0	0
197	-127	1	0	0
198	-127	1	0	0
199	-127	1	0	0
200	-127	1	0	0
201	127	1	0	0
202	127	1	0	0
203	127	1	0	0
204	127	1	0	0
205	127	1	0	0
206	127	1	0	0
207	127	1	0	0
208	127	1	0	0
209	127	1	0	0
210	127	1	0	0
211	127	1	0	0
212	127	1	0	0
213	127	1	0	0
214	127	1	0	0
215	127	1	0	0
216	127	1	0	0
217	127	1	0	0
218	127	1	0	0
219	127	1	0	0
220	127	1	0	0
221	127	1	0	0
222	127	1	0	0
223	127	1	0	0
224	127	1	0	0
225	127	1	0	0
226	127	1	0	0
227	127	1	0	0
228	127	1	0	0
229	127	1	0	0
230	127	1	0	0
231	127	1	0	0
232	127	1	0	0
233	127	1	0	0
234	127	1	0	0
235	127	1	0	0
236	127	1	0	0
237	127	1	0	0
238	127	1	0	0
239	127	1	0	0
240	127	1	0	0
241	127	1	0	0
242	127	1	0	0
243	127	1	0	0
244	127	1	0	0
245	127	1	0	0
246	127	1	0	0
247	127	1	0	0
248	127	1	0	0
249	127	1	0	0
250	127	1	0	0
251	127	1	0	0
252	127	1	0	0
253	127	1	0	0
254	127	1	0	0
255	127	1	0	0
256	127	1	0	0
257	127	1	0	0
258	127	1	0	0
259	127	1	0	0
260	127	1	0	0
261	127	1	0	0
262	127	1	0	0
263	127	1	0	0
264	127	1	0	0
265	127	1	0	0
266	127	1	0	0
267	127	1	0	0
268	127	1	0	0
269	127	1	0	0
270	127	1	0	0
271	127	1	0	0
272	127	1	0	0
273	-127	1	0	0
274	-127	1	0	0
