tick	steer	gas	brake
0	0	1	0
1	0	1	0
2	0	1	0
3	0	1	0
4	0	1	0
5	0	1	0
6	0	1	0
7	0	1	0
8	0	1	0
9	0	1	0
10	0	1	0
11	0	1	0
12	0	1	0
13	0	1	0
14	0	1	0
15	0	1	0
16	0	1	0
17	0	1	0
18	0	1	0
19	0	1	0
20	0	1	0
21	0	1	0
22	0	1	0
23	0	1	0
24	0	1	0
25	0	1	0
26	0	1	0
27	0	1	0
28	0	1	0
29	0	1	0
30	0	1	0
31	0	1	0
32	0	1	0
33	0	1	0
34	0	1	0
35	0	1	0
36	0	1	0
37	0	1	0
38	0	1	0
39	0	1	0
40	0	1	0
41	0	1	0
42	0	1	0
43	0	1	0
44	0	1	0
45	0	1	0
46	0	1	0
47	0	1	0
48	0	1	0
49	0	1	0
50	0	1	0
51	0	1	0
52	0	1	0
53	0	1	0
54	0	1	0
55	0	1	0
56	0	1	0
57	0	1	0
58	0	1	0
59	0	1	0
60	0	1	0
61	0	1	0
62	0	1	0
63	0	1	0
64	0	1	0
65	0	1	0
66	0	1	0
67	0	1	0
68	0	1	0
69	0	1	0
70	0	1	0
71	0	1	0
72	0	1	0
73	0	1	0
74	0	1	0
75	0	1	0
76	0	1	0
77	0	1	0
78	0	1	0
79	0	1	0
80	0	1	0
81	0	1	0
82	0	1	0
83	0	1	0
84	-64	1	1
85	-64	1	1
86	-64	1	1
87	-64	1	1
88	-64	1	1
89	-64	1	1
90	-64	1	1
91	-64	1	1
92	-64	1	1
93	-64	1	1
94	-64	1	1
95	-64	1	1
96	-64	1	1
97	-64	1	1
98	-64	1	1
99	-64	1	1
100	-64	1	1
101	-64	1	1
102	-64	1	1
103	-64	1	1
104	-64	1	1
105	-64	1	1
106	-64	1	1
107	-64	1	1
108	-64	1	1
109	-64	1	1
110	-64	1	1
111	-64	1	1
112	-64	1	1
113	-64	1	1
114	-64	1	1
115	-64	1	1
116	-64	1	1
117	-64	1	1
118	-64	1	1
119	-64	1	1
120	127	1	0
121	127	1	0
122	127	1	0
123	127	1	0
124	127	1	0
125	127	1	0
126	127	1	0
127	127	1	0
128	127	1	0
129	127	1	0
130	127	1	0
131	127	1	0
132	127	1	0
133	127	1	0
134	127	1	0
135	127	1	0
136	127	1	0
137	127	1	0
138	127	1	0
139	127	1	0
140	127	1	0
141	127	1	0
142	127	1	0
143	127	1	0
144	127	1	0
145	127	1	0
146	127	1	0
147	127	1	0
148	127	1	0
149	127	1	0
150	127	1	0
151	127	1	0
152	127	1	0
153	127	1	0
154	127	1	0
155	127	1	0
156	127	1	0
157	127	1	0
158	127	1	0
159	127	1	0
160	127	1	0
161	127	1	0
162	127	1	0
163	127	1	0
164	127	1	0
165	127	1	0
166	127	1	0
167	127	1	0
168	127	1	0
169	127	1	0
170	127	1	0
171	127	1	0
172	127	1	0
173	127	1	0
174	127	1	0
175	127	1	0
176	127	1	0
177	127	1	0
178	127	1	0
179	127	1	0
180	127	1	0
181	127	1	0
182	127	1	0
183	127	1	0
184	127	1	0
185	127	1	0
186	127	1	0
187	127	1	0
188	127	1	0
189	127	1	0
190	127	1	0
191	127	1	0
192	127	1	0
193	127	1	0
194	127	1	0
195	127	1	0
196	127	1	0
197	127	1	0
198	127	1	0
199	127	1	0
200	127	1	0
201	127	1	0
202	127	1	0
203	127	1	0
204	127	1	0
205	127	1	0
206	127	1	0
207	127	1	0
208	127	1	0
209	127	1	0
210	127	1	0
211	127	1	0
212	127	1	0
213	127	1	0
214	127	1	0
215	127	1	0
216	64	1	0
217	64	1	0
218	64	1	0
219	64	1	0
220	64	1	0
221	64	1	0
222	64	1	0
223	64	1	0
224	64	1	0
225	64	1	0
226	64	1	0
227	64	1	0
228	64	1	0
229	64	1	0
230	64	1	0
231	64	1	0
232	64	1	0
233	64	1	0
234	64	1	0
235	64	1	0
236	64	1	0
237	64	1	0
238	64	1	0
239	64	1	0
240	64	1	0
241	64	1	0
242	64	1	0
243	64	1	0
244	64	1	0
245	64	1	0
246	64	1	0
247	64	1	0
248	64	1	0
249	64	1	0
250	64	1	0
251	64	1	0
252	64	0	1
253	64	0	1
254	64	0	1
255	64	0	1
256	64	0	1
257	64	0	1
258	64	0	1
259	64	0	1
260	64	0	1
261	64	0	1
262	64	0	1
263	64	0	1
264	64	0	1
265	64	0	1
266	64	0	1
267	64	0	1
268	64	0	1
269	64	0	1
270	64	0	1
271	64	0	1
272	64	0	1
273	64	0	1
274	64	0	1
275	64	0	1
276	64	1	1
277	64	1	1
278	64	1	1
279	64	1	1
280	64	1	1
281	64	1	1
282	64	1	1
283	64	1	1
284	64	1	1
285	64	1	1
286	64	1	1
287	64	1	1
288	64	1	1
289	64	1	1
290	64	1	1
291	64	1	1
292	64	1	1
293	64	1	1
294	64	1	1
295	64	1	1
296	64	1	1
297	64	1	1
298	64	1	1
299	64	1	1
300	64	1	1
301	64	1	1
302	64	1	1
303	64	1	1
304	64	1	1
305	64	1	1
306	64	1	1
307	64	1	1
308	64	1	1
309	64	1	1
310	64	1	1
311	64	1	1
312	64	1	1
313	64	1	1
314	64	1	1
315	64	1	1
316	64	1	1
317	64	1	1
318	64	1	1
319	64	1	1
320	64	1	1
321	64	1	1
322	64	1	1
323	64	1	1
324	-64	1	0
325	-64	1	0
326	-64	1	0
327	-64	1	0
328	-64	1	0
329	-64	1	0
330	-64	1	0
331	-64	1	0
332	-64	1	0
333	-64	1	0
334	-64	1	0
335	-64	1	0
336	64	0	0
337	64	0	0
338	64	0	0
339	64	0	0
340	64	0	0
341	64	0	0
342	64	0	0
