path	uid	decoration	waypoint_order	dir	cx	cy	cz	x	y	z	status
/var/svcscm/persistent/private-30d/tm-unbeaten/126859/map.Map.Gbx	Z4p7Gy3gjXINzu8pgm_WzYYjtmg	48x48Day	0	0	-1	0	-1	-	-	-	/var/svcscm/persistent/private-30d/tm-unbeaten/126859/map.Map.Gbx: RoadTechStart uses decoration "48x48Day", whose vertical origin is not in the                   from-scratch writer's constant table. This is an unimplemented map constant, not                   evidence that the map has no start.
/var/svcscm/persistent/private-30d/tm-unbeaten/134672/134672.map.Map.Gbx	agH9XtjTZd8iZbuGp_KhC16jMO7	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/145875/map.Map.Gbx	_GsJKvxawnKoIgkiWCpy9tRIMM0	48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/146612/map.Map.Gbx	jchzEcocJbNJreH4ebIoUYOt286	NoStadium48x48Sunrise	0	3	10	13	25	-	-	-	/var/svcscm/persistent/private-30d/tm-unbeaten/146612/map.Map.Gbx: RoadTechStart uses decoration "NoStadium48x48Sunrise", whose vertical origin is not in the                   from-scratch writer's constant table. This is an unimplemented map constant, not                   evidence that the map has no start.
/var/svcscm/persistent/private-30d/tm-unbeaten/153527/map.Map.Gbx	4ympwQ3XZfX8balg2UcVJBL_pnf	NoStadium48x48Day	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/165922/map.Map.Gbx	mP8HzG68YxUY6yJcrQFx2inUjtk	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/165922/map_mP8HzG68YxUY6yJcrQFx2inUjtk.Map.Gbx	mP8HzG68YxUY6yJcrQFx2inUjtk	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/165922/probe_box_spawn.Map.Gbx	mP8HzG68YxUY6yJcrQFx2inUjtk	48x48Screen155Sunset	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/173636/map.Map.Gbx	psnXaq_c26TynrBA_sS5_xGj7Xc	48x48Day	0	3	1	38	20	-	-	-	/var/svcscm/persistent/private-30d/tm-unbeaten/173636/map.Map.Gbx: RoadTechStart uses decoration "48x48Day", whose vertical origin is not in the                   from-scratch writer's constant table. This is an unimplemented map constant, not                   evidence that the map has no start.
/var/svcscm/persistent/private-30d/tm-unbeaten/186935/186935.map.Map.Gbx	sOIkPZULktmoT_OoFbT4HlVxpOe	NoStadium48x48Night	-	-	-	-	-	-	-	-	no-RoadTechStart
/var/svcscm/persistent/private-30d/tm-unbeaten/189922/base6.Map.Gbx	Sz5ThnOZuONYCugVF4hK3SLl_Va	48x48Screen155Day	3	0	46	16	22	-	-	-	/var/svcscm/persistent/private-30d/tm-unbeaten/189922/base6.Map.Gbx: RoadTechStart uses decoration "48x48Screen155Day", whose vertical origin is not in the                   from-scratch writer's constant table. This is an unimplemented map constant, not                   evidence that the map has no start.
