build_date	build_banner	replay	recording_build	map_uid	declared_ms	declared_cps	validated_ms	validated_cps	is_valid	desc
2020-07-17		2021-02-15_13_23__27576.Replay.Gbx	Trackmania date=2021-02-15_13_23 git=104519-de1fd715e0e GameVersion=3.3.0	f1tlOzXvdELVhwrhPpoJDsg9xs8	17408	3	-	-	false	wrong simu
2020-07-17		2021-03-12_16_50__30237.Replay.Gbx	Trackmania date=2021-03-12_16_50 git=104606-9d0eab35630 GameVersion=3.3.0	f1tlOzXvdELVhwrhPpoJDsg9xs8	16962	3	-	-	false	wrong simu
2020-07-17		2021-04-09_17_52__34061.Replay.Gbx	Trackmania date=2021-04-09_17_52 git=104872-d1904a5f6d3 GameVersion=3.3.0	f1tlOzXvdELVhwrhPpoJDsg9xs8	16602	3	-	-	false	not finished, with 1 respawns
2020-07-17		2021-07-08_10_19__45727.Replay.Gbx	Trackmania date=2021-07-08_10_19 git=105488-99a6e8b61f2 GameVersion=3.3.0	f1tlOzXvdELVhwrhPpoJDsg9xs8	16267	3	-	-	false	not finished, with 2 respawns
2020-07-17		2020-07-07_20_18__51307.Replay.Gbx	Trackmania date=2020-07-07_20_18 Svn=105914 GameVersion=3.3.0	Yakz8xDlVWDfVCfXxW2_paCaHil	26448	5	26448	5	true	
2020-07-17		2020-12-09_10_00__18087.Replay.Gbx	Trackmania date=2020-12-09_10_00 git=103978-dc2f49de964 GameVersion=3.3.0	Yakz8xDlVWDfVCfXxW2_paCaHil	27640	5	-	-	false	wrong simu
2020-07-17		2021-01-07_18_56__22627.Replay.Gbx	Trackmania date=2021-01-07_18_56 git=104134-0fcf38815e6 GameVersion=3.3.0	Yakz8xDlVWDfVCfXxW2_paCaHil	26128	5	-	-	false	not finished, with 1 respawns
2020-07-17		2021-03-01_15_48__46777.Replay.Gbx	Trackmania date=2021-03-01_15_48 git=104581-7759cd9d5e4 GameVersion=3.3.0	Yakz8xDlVWDfVCfXxW2_paCaHil	25091	5	-	-	false	not finished, with 1 respawns
2020-07-17		2021-03-30_19_17__33095.Replay.Gbx	Trackmania date=2021-03-30_19_17 git=104829-8998fd688b9 GameVersion=3.3.0	Yakz8xDlVWDfVCfXxW2_paCaHil	29188	5	-	-	false	wrong simu
2020-07-17		2021-06-03_13_02__45747.Replay.Gbx	Trackmania date=2021-06-03_13_02 git=105110-06b3f610401 GameVersion=3.3.0	Yakz8xDlVWDfVCfXxW2_paCaHil	26351	5	-	-	false	not finished, with 1 respawns
2020-07-17		2021-09-02_11_24__52680.Replay.Gbx	Trackmania date=2021-09-02_11_24 git=105611-c4b371ff405 GameVersion=3.3.0	Yakz8xDlVWDfVCfXxW2_paCaHil	24144	5	-	-	false	not finished, with 1 respawns
2020-07-17		2020-10-02_15_02__1530.Replay.Gbx	Trackmania date=2020-10-02_15_02 git=102933-efee8a14f14 GameVersion=3.3.0	qQEgNKxDhXtTsxWYRW0V4pvpER7	23705	3	-	-	false	not finished, with 1 respawns
2020-07-17		2021-06-12_17_56__45750.Replay.Gbx	Trackmania date=2021-06-12_17_56 git=105283-789b58fbc59 GameVersion=3.3.0	qQEgNKxDhXtTsxWYRW0V4pvpER7	22555	3	-	-	false	not finished, with 129 respawns
