boundary	complete_both	identical	slower	faster	median_ms	max_ms
2020-07-01->2020-07-02	0	0	0	0	-	-
2020-07-02->2020-07-07	0	0	0	0	-	-
2020-07-07->2020-07-10	17	17	0	0	-	-
2020-07-10->2020-07-17	19	17	0	2	9	9
2020-07-17->2020-07-23	19	19	0	0	-	-
2020-07-23->2020-09-11	194	168	6	20	8	1954
2020-09-11->2020-09-25	204	204	0	0	-	-
2020-09-25->2020-10-02	203	203	0	0	-	-
2020-10-02->2020-10-12	203	203	0	0	-	-
2020-10-12->2020-11-04	204	204	0	0	-	-
2020-11-04->2020-11-16	203	203	0	0	-	-
2020-11-16->2020-12-04	121	120	0	1	958	958
2020-12-04->2020-12-10	123	123	0	0	-	-
2020-12-10->2020-12-18	123	123	0	0	-	-
2020-12-18->2021-01-18	123	122	0	1	9	9
2021-01-18->2021-01-20	123	123	0	0	-	-
2021-01-20->2021-01-22	123	123	0	0	-	-
2021-01-22->2021-01-28	123	123	0	0	-	-
2021-01-28->2021-02-03	123	123	0	0	-	-
2021-02-03->2021-02-08	123	123	0	0	-	-
2021-02-08->2021-03-04	123	123	0	0	-	-
2021-03-04->2021-03-10	123	123	0	0	-	-
2021-03-10->2021-03-14	204	204	0	0	-	-
2021-03-14->2021-03-18	205	205	0	0	-	-
2021-03-18->2021-04-08	205	205	0	0	-	-
2021-04-08->2021-05-19	203	203	0	0	-	-
2021-05-19->2021-05-31	203	203	0	0	-	-
2021-05-31->2021-06-08	139	47	54	38	16	1488
2021-06-08->2021-06-09	169	168	0	1	2	2
2021-06-09->2021-06-11	168	164	1	3	46	200
2021-06-11->2021-06-12	173	173	0	0	-	-
2021-06-12->2021-06-18	175	171	4	0	136	1519
2021-06-18->2021-07-01	173	169	3	1	8	190
2021-07-01->2021-07-06	116	114	0	2	1549	1549
2021-07-06->2021-07-07	117	117	0	0	-	-
2021-07-07->2021-09-29	115	112	1	2	52	104
2021-09-29->2021-10-12	188	188	0	0	-	-
2021-10-12->2021-11-15	190	190	0	0	-	-
2021-11-15->2021-11-22	190	190	0	0	-	-
2021-11-22->2021-12-02	190	190	0	0	-	-
2021-12-02->2022-01-01	190	190	0	0	-	-
2022-01-01->2022-01-21	190	190	0	0	-	-
