# completing-run time differences, 2021-05-31 -> 2021-06-08
# delta_ms = resim(2021-06-08) - resim(2021-05-31); positive = the same inputs finish SLOWER on 2021-06-08
replay	declared_ms	resim_a_ms	resim_b_ms	delta_ms	map_uid
2021-12-03_11_42__61613.Replay.Gbx	16424	19227	17973	-1254	SsCdL6nGC__n8UrYnsX8xaqnjCh
2021-08-11_17_04__49851.Replay.Gbx	16904	17372	16904	-468	SsCdL6nGC__n8UrYnsX8xaqnjCh
2021-08-11_17_04__50149.Replay.Gbx	8365	8743	8365	-378	u5hN_zlxSURCj2RZueFsh4kc5gk
2021-09-02_11_24__52418.Replay.Gbx	15348	15597	15348	-249	SsCdL6nGC__n8UrYnsX8xaqnjCh
2021-07-01_13_02__44719.Replay.Gbx	15802	15924	15802	-122	TVUF91YlnL78BFJwG5ADkNlymqe
2021-08-11_17_04__49941.Replay.Gbx	8198	8305	8198	-107	vTqUpE1iiXupNABp5Mfx0YOf33j
2021-08-11_17_04__49725.Replay.Gbx	12181	12226	12181	-45	eOA1X_xnvKbdDSuyymweOZzSrQ3
2021-07-08_19_39__46723.Replay.Gbx	10501	10537	10501	-36	xSOA3Fs8k3bGNHFQhwskyAjN3Nh
2021-06-10_16_38__46774.Replay.Gbx	10488	10515	10488	-27	xSOA3Fs8k3bGNHFQhwskyAjN3Nh
2021-04-09_17_52__34248.Replay.Gbx	11213	11213	11191	-22	LcBa4OZLeElnJksgbBEpQggitsh
2022-01-21_15_54__77457.Replay.Gbx	5020	5037	5020	-17	PhJGvGjkCaw299rBhVsEhNJKX1
2020-12-22_13_18__21709.Replay.Gbx	17801	17801	17785	-16	SsCdL6nGC__n8UrYnsX8xaqnjCh
2021-06-09_20_13__41950.Replay.Gbx	5023	5039	5023	-16	PhJGvGjkCaw299rBhVsEhNJKX1
2021-06-10_16_38__46762.Replay.Gbx	5024	5040	5024	-16	PhJGvGjkCaw299rBhVsEhNJKX1
2021-07-08_19_39__46184.Replay.Gbx	5025	5041	5025	-16	PhJGvGjkCaw299rBhVsEhNJKX1
2021-12-14_16_24__64512.Replay.Gbx	5017	5033	5017	-16	PhJGvGjkCaw299rBhVsEhNJKX1
2021-01-18_21_14__23808.Replay.Gbx	5055	5055	5041	-14	PhJGvGjkCaw299rBhVsEhNJKX1
2021-06-09_20_13__41951.Replay.Gbx	12244	12258	12244	-14	Nw8BZ8CtZZcFO547WnqdPzp8ydi
2021-07-08_19_39__46134.Replay.Gbx	8265	8277	8265	-12	vTqUpE1iiXupNABp5Mfx0YOf33j
2020-12-09_10_00__18091.Replay.Gbx	14875	14875	14864	-11	0hI2P3y8sENgIkruI_X7s3efES
2021-06-12_17_56__45750.Replay.Gbx	22555	22566	22555	-11	qQEgNKxDhXtTsxWYRW0V4pvpER7
2020-09-10_18_08__3370.Replay.Gbx	18138	18138	18130	-8	EnMnBg3D4Uvb5bz8VLod73z6n47
2021-03-12_16_50__30236.Replay.Gbx	12298	12298	12290	-8	Nw8BZ8CtZZcFO547WnqdPzp8ydi
2021-06-12_17_56__45737.Replay.Gbx	11746	11754	11746	-8	DyNBxhQ6006991FwvVOaBX9Gcv1
2021-02-15_13_23__27576.Replay.Gbx	17408	17408	17401	-7	f1tlOzXvdELVhwrhPpoJDsg9xs8
2021-01-22_14_32__24315.Replay.Gbx	9524	9524	9518	-6	_oMKNgRlOI5OHz5Fg2LiPNVfC7b
2021-05-20_15_27__40314.Replay.Gbx	11904	11904	11898	-6	OeJCW8sHENIcYscK8o5zVHAxADd
2021-03-04_14_18__30423.Replay.Gbx	21941	21941	21936	-5	7Gmd3uEXAF8iPhtRfyotTXYv709
2021-03-12_16_50__30399.Replay.Gbx	21798	21798	21794	-4	DmYYk4xCZUpMEHR_lzrcSA4q8K7
2020-09-11_18_31__3355.Replay.Gbx	8198	8198	8195	-3	lNP8O0sqatiHqecUXrhH65rpQ8a
2021-06-03_13_02__56067.Replay.Gbx	11211	11211	11208	-3	vzc3_e9GmAn76YYXxjWVU58qtf6
2021-06-21_14_41__43900.Replay.Gbx	7092	7095	7092	-3	btmbJWADQOS20ginP9DJ0i8sh3f
2021-01-22_14_32__24639.Replay.Gbx	7127	7127	7125	-2	btmbJWADQOS20ginP9DJ0i8sh3f
2021-03-12_16_50__30237.Replay.Gbx	16962	16962	16960	-2	f1tlOzXvdELVhwrhPpoJDsg9xs8
2021-06-15_16_02__45731.Replay.Gbx	8222	8224	8222	-2	lNP8O0sqatiHqecUXrhH65rpQ8a
2021-09-02_11_24__51808.Replay.Gbx	6992	6994	6992	-2	btmbJWADQOS20ginP9DJ0i8sh3f
2020-07-23_20_22__10441.Replay.Gbx	15934	15934	15933	-1	zCyXb44aNPHU6EALQObfHv3n9Ca
2021-06-12_17_56__45734.Replay.Gbx	8223	8224	8223	-1	vTqUpE1iiXupNABp5Mfx0YOf33j
2020-07-07_23_07__1065.Replay.Gbx	7442	7442	7442	0	olsKnq_qAghcVAnEkoeUnVHFZei
