island_offset	class	old_bytes	new_bytes	evidence
0x0119	field_immediate	49 81 C1 E0 12 00 00	49 81 C1 98 12 00 00	current 0x852048
0x01b1	field_immediate	BA 30 0D 00 00	BA 40 0D 00 00	current 0x8520cb
0x01b6	field_immediate	B9 E0 0C 00 00	B9 F0 0C 00 00	current 0x8520d0; first native fault
0x02da	field_immediate	48 81 C2 F0 15 00 00	48 81 C2 A8 15 00 00	current 0x85220e
0x03c6	field_immediate	48 81 C1 30 06 00 00	48 81 C1 38 06 00 00	current object band
0x0880	field_immediate	48 81 C1 D8 1E 00 00	48 81 C1 90 1E 00 00	current 0x85272c
0x0ec2	field_immediate	48 81 C1 50 1D 00 00	48 81 C1 08 1D 00 00	current 0x852d6e
0x16f2	field_immediate	48 81 C1 E0 30 00 00	48 81 C1 98 2D 00 00	current 0x8537b9
0x0352	field_modrm	83 BF 9C 14 00 00 00	83 BF 8C 13 00 00 00	current 0x85393c
0x03d5	field_modrm	F3 0F 10 8F B4 14 00 00	F3 0F 10 8F A4 13 00 00	current 0x852824
0x03f5	field_modrm	F3 0F 11 8F B4 14 00 00	F3 0F 11 8F A4 13 00 00	current state-object band
0x076f	field_modrm	F3 0F 59 BF 8C 15 00 00	F3 0F 59 BF 7C 14 00 00	current 0x852623
0x0850	field_modrm	F3 45 0F 59 86 38 1D 00 00	F3 45 0F 59 86 F0 1C 00 00	current 0x852c80; tuning-object band
0x0f7a	field_modrm	48 8D 9F 1C 1D 00 00	48 8D 9F 2C 1C 00 00	current 0x852e09
0x1076	field_modrm	F3 41 0F 59 A4 24 14 0A 00 00	F3 41 0F 59 A4 24 5C 0A 00 00	current 0x852f29
0x11a4	field_modrm	F3 0F 59 99 14 0A 00 00	F3 0F 59 99 5C 0A 00 00	current 0x853045
0x127d	field_modrm	F3 0F 59 BF 40 15 00 00	F3 0F 59 BF 30 14 00 00	current 0x853121
0x13be	field_modrm	44 3B A7 1C 15 00 00	44 3B A7 0C 14 00 00	current 0x8534b9
0x05da	field_modrm	4C 8B AC C8 70 06 00 00	4C 8B AC C8 B8 06 00 00	current 0x852479 material table
0x0605	field_modrm	F3 41 0F 10 47 10	F3 41 0F 10 47 18	current 0x8524da contact struct
0x0633	field_modrm	F3 41 0F 10 47 18	F3 41 0F 10 47 48	current 0x8524eb contact struct
0x077b	field_modrm	F3 44 0F 59 9F 7C 14 00 00	F3 44 0F 59 9F 80 14 00 00	current 0x85262f
