date	server_build	binary_sha256	text_sha256	classification	validated_time
2020-07-01	Date=2020-07-01_13_00 Svn=105768 GameVersion=3.3.0	dd5af3928a475d8b1abea85a7430acc57867c40c3020513e5b4a2ec1c9d80c2f	dc63d6a829c5aa39191dbb40fb7bacddb97c88abfee1f61df92027dd4192f760	INVALID_OTHER	
2020-07-02	Date=2020-07-02_19_00 Svn=105817 GameVersion=3.3.0	3254d937ca5b1f1b451c60a26375f578f3a8e96430c8af1b7f0768de4c97644e	abb2e6b50353d5a14bdeeec0c93bb8e6e954fbaf3bf7001a2a9369531055268d	INVALID_OTHER	
2020-07-07	Date=2020-07-07_23_30 Svn=105917 GameVersion=3.3.0	2c12ae87c83cb58ad726a9ddefed0e96d56a03a6c4e9ab3a2e67bc7422f945df	ba5a0a62b5987e3800167ea374077620bcefd8c9f7234265c5d9edf7b8caaf72	INVALID_OTHER	
2020-07-10	Date=2020-07-10_17_00 Svn=106013 GameVersion=3.3.0	30364af3372888ca09eb78ddcf1f60ff21363a02013888eb97540105a7696970	ceb7f31e38dbad50501a2878bf5cebdcdd12f638c4341e5af6ef7ce1c9f445b3	INVALID_OTHER	
2020-07-17	Date=2020-07-17_13_30 Svn=106088 GameVersion=3.3.0	be14d829b5e2539b14a81a0dca861f2e90de167d13febd22cb1c90ccd736da44	d4f9ac311434012a9e9cb0187e9d9849f8d369c2e91b022cd32ebc013fbb3ae1	WRONG_SIMU	
2020-07-23	Date=2020-07-23_20_30 Svn=106224 GameVersion=3.3.0	c07f0741be37ddca0990fcae6d5a40cd4cce0752520b504f3072d2c48b3d5edb	681ac6f353ca1f8a96e3d1ee252ff100f2113005b0c9415eecc03089ff9539f1	WRONG_SIMU	
2020-09-11	Date=2020-09-11_10_30 Svn=106847 GameVersion=3.3.0	f595b18b296ceb18838eb32c57cb495c634fcd8053bc258ab0fd224cca10cf27	6e3e6072b968756d002a94c4e3ea015b2b6bbf77640a1ecb6925370d726971bb	WRONG_SIMU	
2020-09-25	Date=2020-09-25_18_30 Svn=107069 GameVersion=3.3.0	0f6059df1c2beb86acb9c8bfc67908a5fdb14c47aa58c9bb3cfc2268344c3af0	b2d50b2bb5ab8b896f4dadd5a21489d21d683d728d8030343b2a24b8e0d52cbc	WRONG_SIMU	
2020-10-02	Date=2020-10-02_20_30 Svn=107183 GameVersion=3.3.0	cbceead70eb9e61dd40bf8ba0b4466784d26f7caa3d0245e4382c32b4708bfd9	1389fa614fb013b2afb0e4bf88cc8c17766d7bf58e7f2238b8a73ea4e1d83ca5	WRONG_SIMU	
2020-10-12	Date=2020-10-02_20_30 Svn=107183 GameVersion=3.3.0	cbceead70eb9e61dd40bf8ba0b4466784d26f7caa3d0245e4382c32b4708bfd9	1389fa614fb013b2afb0e4bf88cc8c17766d7bf58e7f2238b8a73ea4e1d83ca5	WRONG_SIMU	
