# Silverstone lap in Trackmania world coordinates (x east, y up, z south); heading = atan2(dx, dz) of travel; curvature >0 turns left
# start_station	5885	finish_station	5735	checkpoints	409,842,1235,1557,1917,2331,2757,3082,3538,3970,4311,4751,5119,5492
station	s_m	x	y	z	heading_rad	curvature	left_m	right_m	corner
0	0.0	1554.571	13.228	2135.599	2.50230	0.00001	5.63	7.73	Hamilton Straight
1	1.0	1555.168	13.241	2134.796	2.50231	0.00001	5.63	7.73	Hamilton Straight
2	2.0	1555.764	13.254	2133.993	2.50233	0.00001	5.61	7.72	Hamilton Straight
3	3.0	1556.361	13.267	2133.191	2.50235	0.00002	5.60	7.71	Hamilton Straight
4	4.0	1556.958	13.280	2132.388	2.50237	0.00002	5.58	7.70	Hamilton Straight
5	5.0	1557.554	13.294	2131.586	2.50239	0.00002	5.55	7.69	Hamilton Straight
6	6.0	1558.151	13.307	2130.783	2.50240	0.00002	5.53	7.68	Hamilton Straight
7	7.0	1558.747	13.321	2129.981	2.50242	0.00002	5.50	7.67	Hamilton Straight
8	8.0	1559.344	13.335	2129.178	2.50244	0.00002	5.47	7.67	Hamilton Straight
9	9.0	1559.940	13.348	2128.375	2.50246	0.00002	5.45	7.66	Hamilton Straight
10	10.0	1560.537	13.362	2127.573	2.50247	0.00002	5.42	7.65	Hamilton Straight
11	11.0	1561.133	13.376	2126.770	2.50249	0.00002	5.39	7.65	Hamilton Straight
12	12.0	1561.730	13.390	2125.968	2.50250	0.00001	5.36	7.64	Hamilton Straight
13	13.0	1562.326	13.403	2125.165	2.50252	0.00001	5.33	7.64	Hamilton Straight
14	14.0	1562.923	13.417	2124.362	2.50253	0.00001	5.31	7.63	Hamilton Straight
15	15.0	1563.519	13.431	2123.560	2.50254	0.00001	5.28	7.63	Hamilton Straight
16	16.0	1564.115	13.444	2122.757	2.50256	0.00001	5.26	7.63	Hamilton Straight
17	17.0	1564.712	13.458	2121.954	2.50257	0.00001	5.24	7.63	Hamilton Straight
18	18.0	1565.308	13.471	2121.152	2.50258	0.00001	5.22	7.63	Hamilton Straight
