# Kart Silverstone GP lap in Trackmania world coordinates (x east, y up, z south); heading = atan2(dx, dz) of travel; curvature >0 turns left
# start_station	767	finish_station	799	checkpoints	869,1034,1268,1327,150,260,401,671
station	s_m	x	y	z	heading_rad	curvature	left_m	right_m	corner
0	0.0	1663.157	17.486	1563.083	2.48919	0.02177	5.70	6.16	Bridge hairpin
1	1.0	1663.762	17.478	1562.286	2.49423	0.01649	5.74	6.09	Bridge hairpin
2	2.0	1664.364	17.471	1561.487	2.49838	0.01242	5.78	6.02	Bridge hairpin
3	3.0	1664.962	17.467	1560.686	2.50335	0.00937	5.81	5.96	Bridge hairpin
4	4.0	1665.555	17.464	1559.881	2.50943	0.00708	5.85	5.90	Bridge hairpin
5	5.0	1666.143	17.462	1559.072	2.51608	0.00531	5.88	5.86	Bridge hairpin
6	6.0	1666.726	17.462	1558.260	2.52240	0.00388	5.91	5.83	Bridge hairpin
7	7.0	1667.304	17.464	1557.444	2.52746	0.00264	5.93	5.81	Bridge hairpin
8	8.0	1667.879	17.467	1556.625	2.53063	0.00149	5.95	5.80	Bridge hairpin
9	9.0	1668.452	17.471	1555.806	2.53161	0.00041	5.97	5.80	Bridge hairpin
10	10.0	1669.024	17.476	1554.986	2.53051	-0.00060	5.99	5.80	Lower arm
11	11.0	1669.599	17.483	1554.167	2.52769	-0.00153	6.01	5.80	Lower arm
12	12.0	1670.177	17.491	1553.351	2.52363	-0.00235	6.03	5.80	Lower arm
13	13.0	1670.758	17.499	1552.537	2.51884	-0.00304	6.04	5.80	Lower arm
14	14.0	1671.343	17.509	1551.727	2.51372	-0.00359	6.06	5.80	Lower arm
15	15.0	1671.933	17.519	1550.919	2.50858	-0.00402	6.08	5.80	Lower arm
16	16.0	1672.526	17.531	1550.114	2.50359	-0.00436	6.10	5.80	Lower arm
17	17.0	1673.124	17.543	1549.312	2.49882	-0.00462	6.11	5.80	Lower arm
18	18.0	1673.725	17.555	1548.513	2.49424	-0.00487	6.13	5.80	Lower arm
19	19.0	1674.330	17.568	1547.717	2.48977	-0.00515	6.15	5.80	Lower arm
20	20.0	1674.938	17.582	1546.923	2.48531	-0.00550	6.17	5.80	Lower arm
21	21.0	1675.550	17.597	1546.132	2.48075	-0.00598	6.19	5.80	Lower arm
22	22.0	1676.166	17.612	1545.344	2.47595	-0.00661	6.20	5.80	Lower arm
23	23.0	1676.785	17.627	1544.559	2.47080	-0.00743	6.22	5.80	Lower arm
24	24.0	1677.409	17.643	1543.778	2.46512	-0.00845	6.24	5.80	Lower arm
25	25.0	1678.037	17.659	1543.000	2.45864	-0.00968	6.26	5.80	Lower arm
26	26.0	1678.671	17.676	1542.226	2.45099	-0.01108	6.27	5.80	Lower arm
27	27.0	1679.312	17.693	1541.458	2.44163	-0.01260	6.29	5.80	Lower arm
28	28.0	1679.960	17.710	1540.697	2.42990	-0.01415	6.31	5.80	Lower arm
29	29.0	1680.618	17.728	1539.944	2.41514	-0.01562	6.32	5.80	Lower arm
30	30.0	1681.288	17.745	1539.202	2.39690	-0.01688	6.32	5.80	Lower arm
31	31.0	1681.973	17.764	1538.473	2.37519	-0.01782	6.31	5.81	Lower arm
32	32.0	1682.675	17.782	1537.761	2.35067	-0.01833	6.28	5.82	Lower arm
33	33.0	1683.395	17.800	1537.067	2.32466	-0.01836	6.22	5.84	Lower arm
34	34.0	1684.133	17.819	1536.392	2.29888	-0.01790	6.13	5.87	Lower arm
35	35.0	1684.888	17.838	1535.736	2.27517	-0.01700	6.02	5.89	Lower arm
36	36.0	1685.657	17.857	1535.097	2.25499	-0.01574	5.91	5.91	Lower arm
