# frame	172
tick	steer	gas	brake
0	-37	1	0
1	-37	1	0
2	-37	1	0
3	-37	1	0
4	-37	1	0
5	-36	1	0
6	-36	1	0
7	-36	1	0
8	-36	1	0
9	-36	1	0
10	-37	1	0
11	-37	1	0
12	-37	1	0
13	-37	1	0
14	-37	1	0
15	-31	1	0
16	-31	1	0
17	-31	1	0
18	-31	1	0
19	-31	1	0
20	-26	1	0
21	-26	1	0
22	-26	1	0
23	-26	1	0
24	-26	1	0
25	-14	1	0
26	-14	1	0
27	-14	1	0
28	-14	1	0
29	-14	1	0
30	-7	1	0
31	-7	1	0
32	-7	1	0
33	-7	1	0
34	-7	1	0
35	1	1	0
36	1	1	0
37	1	1	0
38	1	1	0
39	1	1	0
40	8	1	0
41	8	1	0
42	8	1	0
43	8	1	0
44	8	1	0
45	15	1	0
46	15	1	0
47	15	1	0
48	15	1	0
49	15	1	0
50	20	1	0
51	20	1	0
52	20	1	0
53	20	1	0
54	20	1	0
55	22	1	0
56	22	1	0
57	22	1	0
58	22	1	0
59	22	1	0
60	23	1	0
61	23	1	0
62	23	1	0
63	23	1	0
64	23	1	0
65	23	0	0
66	23	0	0
67	23	0	0
68	23	0	0
69	23	0	0
70	21	1	0
71	21	1	0
72	21	1	0
73	21	1	0
74	21	1	0
75	18	1	0
76	18	1	0
77	18	1	0
78	18	1	0
79	18	1	0
80	15	1	0
81	15	1	0
82	15	1	0
83	15	1	0
84	15	1	0
85	12	1	0
86	12	1	0
87	12	1	0
88	12	1	0
89	12	1	0
90	8	1	0
91	8	1	0
92	8	1	0
93	8	1	0
94	8	1	0
95	5	1	0
96	5	1	0
97	5	1	0
98	5	1	0
99	5	1	0
100	2	1	0
101	2	1	0
102	2	1	0
103	2	1	0
104	2	1	0
105	-1	1	0
106	-1	1	0
107	-1	1	0
108	-1	1	0
109	-1	1	0
110	-3	1	0
111	-3	1	0
112	-3	1	0
113	-3	1	0
114	-3	1	0
115	-3	1	0
116	-3	1	0
117	-3	1	0
118	-3	1	0
119	-3	1	0
120	-3	1	0
121	-3	1	0
122	-3	1	0
123	-3	1	0
124	-3	1	0
125	-3	1	0
126	-3	1	0
127	-3	1	0
128	-3	1	0
129	-3	1	0
130	-2	1	0
131	-2	1	0
132	-2	1	0
133	-2	1	0
134	-2	1	0
135	-1	1	0
136	-1	1	0
137	-1	1	0
138	-1	1	0
139	-1	1	0
140	1	1	0
141	1	1	0
142	1	1	0
143	1	1	0
144	1	1	0
145	2	1	0
146	2	1	0
147	2	1	0
148	2	1	0
149	2	1	0
150	4	1	0
151	4	1	0
152	4	1	0
153	4	1	0
154	4	1	0
155	5	1	0
156	5	1	0
157	5	1	0
158	5	1	0
159	5	1	0
160	5	0	0
161	5	0	0
162	5	0	0
163	5	0	0
164	5	0	0
165	6	0	0
166	6	0	0
167	6	0	0
168	6	0	0
169	6	0	0
170	6	0	0
171	6	0	0
172	6	0	0
173	6	0	0
174	6	0	0
175	5	0	1
176	5	0	1
177	5	0	1
178	5	0	1
179	5	0	1
180	4	1	0
181	4	1	0
182	4	1	0
183	4	1	0
184	4	1	0
185	3	0	0
186	3	0	0
187	3	0	0
188	3	0	0
189	3	0	0
190	2	0	0
191	2	0	0
192	2	0	0
193	2	0	0
194	2	0	0
195	1	0	0
196	1	0	0
197	1	0	0
198	1	0	0
199	1	0	0
200	0	0	1
201	0	0	1
202	0	0	1
203	0	0	1
204	0	0	1
205	-1	0	0
206	-1	0	0
207	-1	0	0
208	-1	0	0
209	-1	0	0
210	-2	1	0
211	-2	1	0
212	-2	1	0
213	-2	1	0
214	-2	1	0
215	-3	0	0
216	-3	0	0
217	-3	0	0
218	-3	0	0
219	-3	0	0
220	-4	0	0
221	-4	0	0
222	-4	0	0
223	-4	0	0
224	-4	0	0
225	-5	0	1
226	-5	0	1
227	-5	0	1
228	-5	0	1
229	-5	0	1
230	-5	0	0
231	-5	0	0
232	-5	0	0
233	-5	0	0
234	-5	0	0
235	-5	0	0
236	-5	0	0
237	-5	0	0
238	-5	0	0
239	-5	0	0
240	-6	0	0
241	-6	0	0
242	-6	0	0
243	-6	0	0
244	-6	0	0
245	-6	0	0
246	-6	0	0
247	-6	0	0
248	-6	0	0
249	-6	0	0
250	-6	0	1
251	-6	0	1
252	-6	0	1
253	-6	0	1
254	-6	0	1
255	-5	0	0
256	-5	0	0
257	-5	0	0
258	-5	0	0
259	-5	0	0
260	-5	0	0
261	-5	0	0
262	-5	0	0
263	-5	0	0
264	-5	0	0
265	-4	0	0
266	-4	0	0
267	-4	0	0
268	-4	0	0
269	-4	0	0
270	-3	0	0
271	-3	0	0
272	-3	0	0
273	-3	0	0
274	-3	0	0
275	-2	0	0
276	-2	0	0
277	-2	0	0
278	-2	0	0
279	-2	0	0
280	-2	0	1
281	-2	0	1
282	-2	0	1
283	-2	0	1
284	-2	0	1
285	-1	0	0
286	-1	0	0
287	-1	0	0
288	-1	0	0
289	-1	0	0
290	-1	0	0
291	-1	0	0
292	-1	0	0
293	-1	0	0
294	-1	0	0
295	-1	0	0
296	-1	0	0
297	-1	0	0
298	-1	0	0
299	-1	0	0
300	-3	0	0
301	-3	0	0
302	-3	0	0
303	-3	0	0
304	-3	0	0
305	-7	0	1
306	-7	0	1
307	-7	0	1
308	-7	0	1
309	-7	0	1
310	-6	0	0
311	-6	0	0
312	-6	0	0
313	-6	0	0
314	-6	0	0
315	-6	0	0
316	-6	0	0
317	-6	0	0
318	-6	0	0
319	-6	0	0
320	-11	0	0
321	-11	0	0
322	-11	0	0
323	-11	0	0
324	-11	0	0
325	-18	0	0
326	-18	0	0
327	-18	0	0
328	-18	0	0
329	-18	0	0
330	-27	0	1
331	-27	0	1
332	-27	0	1
333	-27	0	1
334	-27	0	1
335	-25	0	0
336	-25	0	0
337	-25	0	0
338	-25	0	0
339	-25	0	0
340	-32	0	0
341	-32	0	0
342	-32	0	0
343	-32	0	0
344	-32	0	0
345	-40	0	0
346	-40	0	0
347	-40	0	0
348	-40	0	0
349	-40	0	0
350	-47	0	0
351	-47	0	0
352	-47	0	0
353	-47	0	0
354	-47	0	0
355	-54	0	1
356	-54	0	1
357	-54	0	1
358	-54	0	1
359	-54	0	1
360	-39	1	0
361	-39	1	0
362	-39	1	0
363	-39	1	0
364	-39	1	0
365	-52	0	0
366	-52	0	0
367	-52	0	0
368	-52	0	0
