time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen,wetness
2380,1581.65,10.4032,827.635,138.884,38.5788,-5.66137,-7.17153,37.4812,-0.149342,-0.152779,0.0250704,0.0770181,-0.0734354,-0.00662562,0.9943,,,0,1,0,,,,,,,,,0
2390,1581.59,10.3407,828.017,139.337,38.7046,-5.68257,-6.57899,37.7157,-0.149057,-0.139272,0.0220228,0.0701925,-0.0735182,-0.00566739,0.994805,,,0,1,0,,,,,,,,,0
2400,1581.53,10.2899,828.402,139.751,38.8197,-5.70266,-5.9878,37.9288,-0.148768,-0.125025,0.0202094,0.0630393,-0.0735422,-0.00533603,0.995283,,,0,1,0,,,,,,,,,0
2410,1581.47,10.2426,828.788,140.212,38.9477,-5.71941,-5.52934,38.1266,-0.148449,-0.110563,0.0185207,0.0557805,-0.0735327,-0.00506711,0.995719,,,0,1,0,,,,,,,,,0
2420,1581.42,10.1986,829.176,140.63,39.0638,-5.73679,-5.08304,38.3045,-0.148114,-0.0961235,0.017066,0.0485376,-0.0734941,-0.00490591,0.996102,,,0,1,0,,,,,,,,,0
2430,1581.36,10.165,829.566,141.007,39.1686,-5.74721,-4.62927,38.4671,-0.147744,-0.0809296,0.0147322,0.0408838,-0.0734464,-0.00433031,0.996451,,,0,1,0,,,,,,,,,0
2440,1581.3,10.131,829.958,141.422,39.2839,-5.75764,-4.15514,38.6369,-0.147369,-0.0655504,0.0122156,0.0331283,-0.0733778,-0.0036625,0.996747,,,0,1,0,,,,,,,,,0
2450,1581.25,10.0999,830.352,142.762,39.6561,-5.80706,-3.57269,39.0656,-0.146994,-0.0501782,0.00999042,0.0253846,-0.0732818,-0.00313177,0.996983,,,0,1,0,,,,,,,,,0
2460,1581.19,10.0716,830.751,145.132,40.3146,-5.893,-3.04212,39.7653,-0.146625,-0.034806,0.00904042,0.017686,-0.0731568,-0.00323,0.997158,,,0,1,0,,,,,,,,,0
2470,1581.13,10.0484,831.158,147.51,40.9749,-5.98047,-2.5298,40.4571,-0.146289,-0.0203835,0.00781,0.0104496,-0.0730353,-0.00314875,0.99727,,,0,1,0,,,,,,,,,0
2480,1581.07,10.0372,831.571,149.87,41.6305,-6.06564,-1.9505,41.1401,-0.146004,-0.00747949,0.00567417,0.00393668,-0.072926,-0.00255666,0.997326,,,0,1,0,,,,,,,,,0
2490,1581.01,10.0312,831.99,152.248,42.2912,-6.15549,-1.6673,41.8076,-0.145768,0.00369885,0.00361676,-0.00171283,-0.0728228,-0.00193824,0.997342,,,0,1,0,,,,,,,,,0
2500,1580.94,10.0256,832.414,154.58,42.9388,-6.24677,-1.28164,42.4626,-0.145574,0.0127617,0.00139686,-0.00631315,-0.0727255,-0.00116054,0.997331,,,0,1,0,,,,,,,,,0
2510,1580.88,10.0304,832.844,156.914,43.5873,-6.33406,-0.992575,43.1132,-0.145412,0.0188641,-0.0009498,-0.0094415,-0.0726343,-0.000211614,0.997314,,,0,1,0,,,,,,,,,0
2520,1580.82,10.0321,833.279,159.253,44.237,-6.42185,-0.827225,43.7605,-0.145272,0.0225913,-0.00305673,-0.0113765,-0.0725502,0.000704116,0.9973,,,0,1,0,,,,,,,,,0
2530,1580.76,10.0354,833.719,161.585,44.8848,-6.50923,-0.688885,44.4049,-0.145144,0.0242736,-0.00512416,-0.0122902,-0.0724718,0.0016744,0.997293,,,0,1,0,,,,,,,,,0
2540,1580.69,10.0369,834.165,163.725,45.4792,-6.589,-0.64949,44.9947,-0.145021,0.0241333,-0.00696089,-0.0122866,-0.0723993,0.00259586,0.997297,,,0,1,0,,,,,,,,,0
