time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen,wetness
2380,1583.99,10.3703,827.797,139.082,38.6338,0.063657,-6.30027,38.1166,0.00228057,-0.148679,-0.00125894,0.0742718,0.0010909,0.000536117,0.997237,,,-0.0551181,1,0,,,,,,,,,0
2390,1583.99,10.3091,828.185,139.593,38.7758,0.0620036,-6.14739,38.2854,0.00227019,-0.134896,-0.00100696,0.0673974,0.00109889,0.000421267,0.997726,,,0.0944882,1,0,,,,,,,,,0
2400,1583.99,10.2618,828.575,139.997,38.888,0.0779079,-5.28449,38.5272,0.00222718,-0.120528,-0.000846996,0.0602277,0.00108624,0.000352594,0.998184,,,0.0472441,1,0,,,,,,,,,0
2410,1583.99,10.2155,828.967,140.461,39.0168,0.0996443,-4.90252,38.7075,0.0021972,-0.105981,-0.000889471,0.0529661,0.00107364,0.000383431,0.998596,,,0,1,0,,,,,,,,,0
2420,1583.99,10.1743,829.361,140.853,39.1259,0.12413,-4.30137,38.8885,0.00222683,-0.0907356,-0.0010045,0.0453528,0.00108959,0.000449172,0.99897,,,-0.0472441,1,0,,,,,,,,,0
2430,1583.99,10.1422,829.757,141.253,39.2368,0.0880254,-3.68551,39.0633,0.00231811,-0.075175,-0.00126035,0.0375794,0.00113462,0.000584398,0.999293,,,-0.0944882,1,0,,,,,,,,,0
2440,1584,10.1086,830.155,141.665,39.3515,0.0874456,-3.47977,39.1972,0.00237944,-0.0589998,-0.00112109,0.0294963,0.0011727,0.000524234,0.999564,,,0.0551181,1,0,,,,,,,,,0
2450,1584,10.0785,830.555,143.077,39.7435,0.106394,-2.76545,39.647,0.00244145,-0.0425059,-0.00103701,0.0212519,0.00120944,0.000491977,0.999773,,,0.00787402,1,0,,,,,,,,,0
2460,1584,10.0554,830.961,145.504,40.4179,0.133224,-2.38417,40.3473,0.00254616,-0.0270927,-0.00106319,0.0135466,0.00126576,0.000514105,0.999907,,,-0.0393701,1,0,,,,,,,,,0
2470,1584,10.0415,831.373,147.912,41.0867,0.100791,-1.95752,41.0399,0.00269994,-0.0122475,-0.00113017,0.00612444,0.00134649,0.000556763,0.99998,,,-0.0866142,1,0,,,,,,,,,0
2480,1584,10.0363,831.792,150.318,41.755,0.105297,-1.59644,41.7244,0.00280146,0.00104234,-0.00123604,-0.000520303,0.00140105,0.000618747,0.999999,,,0.0629921,1,0,,,,,,,,,0
2490,1584,10.0282,832.217,152.714,42.4205,0.111593,-1.35847,42.3986,0.00288951,0.0121668,-0.00139975,-0.00608235,0.00144899,0.000708599,0.99998,,,0.015748,1,0,,,,,,,,,0
2500,1584,10.034,832.647,155.062,43.0729,0.117723,-0.967538,43.0619,0.00301035,0.0206436,-0.00163707,-0.0103204,0.00151354,0.000833853,0.999945,,,-0.0314961,1,0,,,,,,,,,0
2510,1584,10.0366,833.082,157.423,43.7286,0.124531,-0.765395,43.7218,0.00317143,0.0263868,-0.00194078,-0.0131915,0.00159837,0.000990884,0.999911,,,-0.0787402,1,0,,,,,,,,,0
2520,1584,10.0398,833.523,159.772,44.381,0.131939,-0.57309,44.3771,0.0032771,0.0299625,-0.00227413,-0.0149788,0.00165539,0.00116097,0.999886,,,0.0708661,1,0,,,,,,,,,0
2530,1584.01,10.042,833.969,162.125,45.0347,0.138996,-0.496681,45.0317,0.00336522,0.0315367,-0.00262382,-0.0157654,0.00170307,0.00133762,0.999873,,,0.023622,1,0,,,,,,,,,0
