time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
0,1552,34.002,560,0.810531,0.225147,0.00278466,-0.22513,0,0,0,0,0,0,0,1,1,0,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
50,1552,34.002,560.015,2.77579,0.771052,0.000471615,-0.0381285,0.770108,0,0,0,-0,0,0,1,1,3,-0.00392157,1,0,-0.0305176,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
100,1552,34.004,560.07,5.64592,1.56831,0.0179945,0.0343651,1.56783,0,0,0,-0,0,0,1,1,7,-0.0588235,1,0,-0.0305176,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
150,1552,34.007,560.165,8.50738,2.36316,0.0266775,0.0835083,2.36153,0.000219066,0.00390771,-0.000365185,-0.00195383,0.000109889,0.000182805,0.999998,1,11,-0.0745098,1,0,0,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
200,1552,34.011,560.301,11.3581,3.15504,0.0273948,0.0730716,3.15407,0.000752936,0.00713535,-0.00047199,-0.00356758,0.000377308,0.00023733,0.999994,1,16,-0.0745098,1,0,0,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
250,1552,34.014,560.475,14.1814,3.93929,0.0764995,0.0603457,3.93808,0.00165193,0.00972251,-0.000504458,-0.00486103,0.00082718,0.000256229,0.999988,1,14,-0.121569,1,0,0,False,True,0,0.0235294,0.0235294,0.00784314,0.00784314
300,1552.01,34.015,560.689,16.9952,4.7209,0.115877,-0.0144057,4.71946,0.00340954,0.0108708,-0.000589414,-0.00543487,0.00170635,0.000303951,0.999984,1,14,-0.184314,1,0,0.0305176,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
350,1552.01,34.015,560.94,19.805,5.50139,0.122806,-0.0586065,5.4997,0.00656461,0.0103434,-0.000690461,-0.0051705,0.00328404,0.000362181,0.999981,1,17,-0.207843,1,0,0.0610352,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
400,1552.02,34.012,561.23,22.5996,6.27768,0.204958,-0.110573,6.27336,0.0112305,0.00847486,-0.000781644,-0.00423516,0.00561681,0.000414592,0.999975,1,19,-0.215686,1,0,0.0610352,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
450,1552.02,34.01,561.559,25.4301,7.06392,0.244216,-0.0950187,7.05906,0.0173244,0.00615248,-0.000880863,-0.0030723,0.0086634,0.000467051,0.999958,1,22,-0.215686,1,0,0.0610352,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
500,1552.03,34.008,561.927,28.2738,7.85382,0.285666,-0.0572818,7.84841,0.0247245,0.00430234,-0.0010291,-0.00214465,0.012363,0.000541097,0.999921,1,24,-0.215686,1,0,0.0610352,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
550,1552.04,34.007,562.335,31.0915,8.63652,0.426586,-0.0211221,8.62595,0.0332481,0.00353269,-0.00124194,-0.00175578,0.0166244,0.000650244,0.99986,1,27,-0.215686,1,0,0.0610352,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
600,1552.06,34.008,562.783,33.9515,9.43098,0.582863,0,9.41295,0.0428343,0.00396874,-0.00153071,-0.00196752,0.021417,0.000807667,0.999768,1,29,-0.223529,1,0,0.0610352,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
650,1552.09,34.01,563.27,36.7793,10.2165,0.631214,0.0156175,10.1969,0.0534887,0.00526663,-0.00190382,-0.00260691,0.0267436,0.00102197,0.999638,1,32,-0.223529,1,0,0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
700,1552.12,34.012,563.797,39.6041,11.0012,0.815406,0.0201748,10.9709,0.0650805,0.00678851,-0.00233146,-0.00335452,0.0325382,0.00127551,0.999464,1,34,-0.215686,1,0,0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
750,1552.16,34.014,564.362,42.4333,11.787,1.01924,0,11.7429,0.0773887,0.00788228,-0.00281192,-0.00388379,0.0386899,0.00155732,0.999243,1,37,-0.207843,1,0,0.0305176,True,True,0,0.0235294,0.00784314,0.00784314,0.00784314
800,1552.21,34.014,564.965,45.2378,12.5661,1.24136,0,12.5046,0.0901593,0.0081525,-0.00334304,-0.00399677,0.0450708,0.00185344,0.998974,1,39,-0.2,1,0,0.0305176,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
850,1552.27,34.014,565.607,48.0832,13.3565,1.48327,-0.036699,13.2738,0.103278,0.00753478,-0.00391591,-0.00366129,0.0516231,0.00214973,0.998658,1,42,-0.2,1,0,0.0305176,True,True,0,0.0235294,0.00784314,0.00784314,0.00784314
900,1552.34,34.013,566.286,50.9036,14.1399,1.7439,-0.0431476,14.0319,0.116696,0.00631343,-0.00452496,-0.0030194,0.0583214,0.00244265,0.99829,1,44,-0.2,1,0,0.0305176,True,True,0,0.0235294,0.00784314,0.00784314,0.00784314
950,1552.43,34.012,567.003,53.728,14.9244,2.02364,-0.0500689,14.7865,0.130088,0.00494958,-0.00509914,-0.00230383,0.0650041,0.00270499,0.997879,1,47,-0.168627,1,0,0,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1000,1552.53,34.011,567.759,56.5957,15.721,2.32479,0,15.5482,0.14335,0.00392282,-0.00563022,-0.00175476,0.0716189,0.00294831,0.997426,1,49,-0.160784,1,0,0,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1050,1552.65,34.011,568.553,59.438,16.5106,2.64331,0,16.2976,0.156206,0.00351227,-0.00604065,-0.00151512,0.0780285,0.00314811,0.996945,1,52,-0.160784,1,0,0,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1100,1552.78,34.012,569.384,62.2983,17.3051,2.98157,0,17.0463,0.169053,0.00385998,-0.0061441,-0.00166373,0.0844311,0.00322399,0.996423,1,54,-0.160784,1,0,0,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1150,1552.93,34.012,570.253,65.1657,18.1016,3.3391,0,17.791,0.181895,0.00473098,-0.00593888,-0.00208602,0.0908286,0.00317196,0.995859,1,56,-0.160784,1,0,0,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1200,1553.1,34.013,571.159,67.961,18.8781,3.71155,0,18.5096,0.194735,0.0056407,-0.00567211,-0.00253128,0.0972208,0.00309674,0.995255,1,59,-0.160784,1,0,0,True,True,0,0.0235294,0.00784314,0.00784314,0.00784314
1250,1553.28,34.014,572.101,70.8053,19.6681,4.1051,0,19.235,0.207574,0.00614291,-0.00574651,-0.00275724,0.103609,0.00317592,0.994609,1,61,-0.0745098,1,0,-0.0610352,True,True,0,0.0235294,0.00784314,0.00784314,0.00784314
1300,1553.49,34.014,573.08,73.6949,20.4708,4.51991,0,19.9656,0.218412,0.00622159,-0.00581899,-0.00277515,0.108997,0.00323113,0.994033,1,64,-0.00392157,1,0,-0.0915527,True,True,0,0.0235294,0.00784314,0.00784314,0.00784314
1350,1553.71,34.014,574.095,76.5492,21.2637,4.95112,0,20.6792,0.22629,0.00593688,-0.00573536,-0.00262568,0.112911,0.00318443,0.993596,1,66,-0.00392157,1,0,-0.0610352,True,True,0,0.0235294,0.00784314,0.00784314,0.00784314
1400,1553.96,34.013,575.147,79.3552,22.0431,5.13261,0,21.4372,0.231683,0.00538903,-0.00555679,-0.00235531,0.115589,0.00307116,0.99329,1,69,-0.00392157,1,0,-0.0610352,True,True,0,0.0235294,0.00784314,0.00784314,0.00784314
1450,1554.21,34.025,576.236,82.1818,22.8283,5.3138,0.131474,22.2008,0.235524,0.00725961,-0.00276163,-0.00344243,0.117494,0.00179767,0.993066,1,71,-0.00392157,1,0,-0.0610352,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
1500,1554.48,34.057,577.364,85.024,23.6178,5.78115,0.143037,22.8989,0.23821,0.0141133,0.00425258,-0.00725918,0.118805,-0.00127248,0.99289,1,74,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.0235294,0.0235294
1550,1554.76,34.09,578.533,87.7888,24.3858,5.96366,0.295286,23.6435,0.240234,0.0293471,0.0154607,-0.0154927,0.119699,-0.00591228,0.992672,1,76,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.0392157,0.0235294
