time_ms,x,y,z,speed_kmh,speed_ms,vx,vy,vz,yaw,pitch,roll,qx,qy,qz,qw,gear,rpm_raw,steer,gas,brake,side_speed,is_turbo,is_ground_contact,turbo_time,fl_dampen,fr_dampen,rr_dampen,rl_dampen
0,1584,18.002,784,0.810531,0.225147,0.00278466,-0.22513,0,0,0,0,0,0,0,1,1,0,-0.00392157,1,0,-0.0305176,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
50,1584,18.002,784.015,2.77579,0.771052,0.000471615,-0.0381285,0.770108,0,0,0,-0,0,0,1,1,3,-0.00392157,1,0,-0.0305176,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
100,1584,18.004,784.07,5.63464,1.56518,-0.0504036,0.0288241,1.5641,0,0,0,-0,-0,0,1,1,7,0.176471,1,0,-0.0610352,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
150,1584,18.006,784.165,8.45649,2.34902,-0.089399,0.074181,2.34615,-0.000854328,0.00383657,-5.40241e-05,-0.00191829,-0.000427112,2.61924e-05,0.999998,1,11,0.278431,1,0,-0.12207,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
200,1583.99,18.01,784.299,11.2676,3.1299,-0.12386,0.0928289,3.12607,-0.00295892,0.00707518,0.000116015,-0.00353749,-0.00147965,-6.32394e-05,0.999993,1,16,0.286275,1,0,-0.12207,False,True,0,0.00784314,0.00784314,0.00784314,0.00784314
250,1583.99,18.014,784.473,14.0544,3.90399,-0.138492,0.0423621,3.90131,-0.00626165,0.0097632,0.000201891,-0.00488124,-0.00313127,-0.000116222,0.999983,1,14,0.301961,1,0,-0.152588,False,True,0,0.0235294,0.0235294,0.00784314,0.00784314
300,1583.98,18.015,784.684,16.8261,4.67393,-0.230507,-0.0171376,4.66821,-0.0113938,0.0109647,0.000401615,-0.00548109,-0.00569789,-0.000232022,0.999969,1,14,0.32549,1,0,-0.152588,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
350,1583.98,18.015,784.932,19.5883,5.4412,-0.260897,-0.0658873,5.43454,-0.0184476,0.010403,0.000557113,-0.00519867,-0.00922499,-0.000326502,0.999944,1,17,0.341176,1,0,-0.152588,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
400,1583.97,18.012,785.219,22.3748,6.21521,-0.293923,-0.0899053,6.20761,-0.0271598,0.00851405,0.000719741,-0.00425173,-0.0135809,-0.000417629,0.999899,1,19,0.301961,1,0,-0.152588,True,True,0,0.0235294,0.0235294,0.00784314,0.00784314
450,1583.95,18.01,785.544,25.1771,6.99363,-0.42156,-0.0954349,6.98026,-0.037447,0.00617139,0.000940078,-0.00307635,-0.0187238,-0.000527717,0.99982,1,22,0.301961,1,0,-0.152588,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
500,1583.93,18.008,785.908,27.9924,7.77567,-0.572106,-0.0711238,7.75427,-0.0489807,0.00426141,0.00124203,-0.00211486,-0.0244892,-0.000673,0.999698,1,24,0.32549,1,0,-0.152588,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
550,1583.91,18.007,786.312,30.8129,8.55914,-0.633822,-0.0313833,8.53558,-0.0620078,0.00342385,0.00165729,-0.00168541,-0.0310003,-0.000881309,0.999518,1,27,0.247059,1,0,-0.12207,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
600,1583.88,18.008,786.755,33.6473,9.34648,-0.923023,0.0228374,9.30077,-0.0758062,0.0038211,0.00202173,-0.00187087,-0.0378959,-0.00108253,0.999279,1,29,0.32549,1,0,-0.152588,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
650,1583.84,18.01,787.237,36.4862,10.1351,-0.875318,0.0433408,10.0971,-0.0894617,0.00507754,0.00238693,-0.00248286,-0.0447188,-0.00130577,0.998996,1,32,-0.00392157,1,0,0,True,True,0,0.00784314,0.00784314,0.00784314,0.00784314
