index	kind	name	blockinfo	alt_blockinfo	cell_x	cell_y	cell_z	dir	flags	ground	variant	subvariant	variant_picked	variant_name	mobil_list	mobil_lists	additional_ground	additional_air	notes	cells	prefabs	North	East	South	West	Top	Bottom	error
0	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		5	6	46	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(5,6,46)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(5,6,47) a#2168 Beach	u0->(4,6,46) a#494 Land	u0->(5,6,45) a#2162 Beach	u0->(6,6,46) a#5 Land			
1	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		6	6	42	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(6,6,42)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(6,6,43) a#2 Land	u0->(5,6,42) a#2159 Beach	u0->(6,6,41) a#2135 Beach	u0->(7,6,42) a#6 Land			
2	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		6	6	43	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(6,6,43)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(6,6,44) a#3 Land	u0->(5,6,43) a#2160 Beach	u0->(6,6,42) a#1 Land	u0->(7,6,43) a#7 Land			
3	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		6	6	44	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(6,6,44)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(6,6,45) a#4 Land	u0->(5,6,44) a#2161 Beach	u0->(6,6,43) a#2 Land	u0->(7,6,44) a#8 Land			
4	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		6	6	45	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(6,6,45)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(6,6,46) a#5 Land	u0->(5,6,45) a#2162 Beach	u0->(6,6,44) a#3 Land	u0->(7,6,45) a#9 Land			
5	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		6	6	46	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(6,6,46)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(6,6,47) a#2170 Beach	u0->(5,6,46) a#0 Land	u0->(6,6,45) a#4 Land	u0->(7,6,46) a#10 Land			
6	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		7	6	42	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(7,6,42)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(7,6,43) a#7 Land	u0->(6,6,42) a#1 Land	u0->(7,6,41) a#2136 Beach	u0->(8,6,42) a#12 Land			
7	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		7	6	43	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(7,6,43)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(7,6,44) a#8 Land	u0->(6,6,43) a#2 Land	u0->(7,6,42) a#6 Land	u0->(8,6,43) a#13 Land			
8	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		7	6	44	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(7,6,44)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(7,6,45) a#9 Land	u0->(6,6,44) a#3 Land	u0->(7,6,43) a#7 Land	u0->(8,6,44) a#14 Land			
9	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		7	6	45	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(7,6,45)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(7,6,46) a#10 Land	u0->(6,6,45) a#4 Land	u0->(7,6,44) a#8 Land	u0->(8,6,45) a#15 Land			
10	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		7	6	46	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(7,6,46)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(7,6,47) a#2171 Beach	u0->(6,6,46) a#5 Land	u0->(7,6,45) a#9 Land	u0->(8,6,46) a#16 Land			
11	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		8	6	41	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(8,6,41)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(8,6,42) a#12 Land	u0->(7,6,41) a#2136 Beach	u0->(8,6,40) a#2155 Beach	u0->(9,6,41) a#17 Land			
12	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		8	6	42	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(8,6,42)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(8,6,43) a#13 Land	u0->(7,6,42) a#6 Land	u0->(8,6,41) a#11 Land	u0->(9,6,42) a#1707 LandCliff12			
13	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		8	6	43	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(8,6,43)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(8,6,44) a#14 Land	u0->(7,6,43) a#7 Land	u0->(8,6,42) a#12 Land	u0->(9,6,43) a#1708 LandCliff12			
14	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		8	6	44	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(8,6,44)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(8,6,45) a#15 Land	u0->(7,6,44) a#8 Land	u0->(8,6,43) a#13 Land	u0->(9,6,44) a#1709 LandCliff12			
15	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		8	6	45	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(8,6,45)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(8,6,46) a#16 Land	u0->(7,6,45) a#9 Land	u0->(8,6,44) a#14 Land	u0->(9,6,45) a#1710 LandCliff12			
16	grid	Land	BlueBay\GameCtnBlockInfo\GameCtnBlockInfoFlat\Land.EDFlat.Gbx		8	6	46	0	00001000	1	0	0	ground/base	Variant Ground	0	1	0	0		u0@(8,6,46)	BlueBay\Media\Prefab\Zone\Land\Base.Prefab.Gbx	u0->(8,6,47) a#2172 Beach	u0->(7,6,46) a#10 Land	u0->(8,6,45) a#15 Land	u0->(9,6,46) a#18 Land			
